
-------------------------------------------------------------------------------
NAME                    NUMBER          SPEED           SETTINGS        TYPE
FOREST SERVICE          800-962-1729     300-2400       N-8-1           G
FREEDOM NETWORK         800-621-1411     300-2400       E-7-1           U
FSDO              *NEW* 800-645-3736     300-9600       N-8-1           G
GAIN                    800-221-1856     300-2400       N-8-1           E
GE                      800-326-5476     300-2400       N-8-1           $
GENIE                   800-638-8369     300-2400       E-7-1           $
GULFLINE                800-235-4662     300-9600       N-8-1           G
GOLF COAST LIB.   *NEW* 800-252-6880     300-1200       N-8-1           E
GOV. BBS                800-228-3832     300-2400       N-8-1           U
GRAPHNET                800-621-1411     300-2400       N-8-1           U
GRATEFUL MED            800-525-5756     300-9600       N-8-1           G
HAYES-ONLINE            800-874-2937     300-14400      N-8-1           S
HEAD START              800-477-8278     300-2400       N-8-1           G
HMIX                    800-752-6367     300-9600       N-8-1           S
HOME & LIVING BBS       800-624-6873     300-2400       N-8-1           G
HUNZA GRAPHICS          800-523-9240     300-2400       N-8-1           S
HYUNDAI           *NEW* 800-955-5432    1200-2400       N-8-1           S
IBE BBS                 800-934-4239     300-2400       N-8-1           G$
IDEANET           *NEW* 800-541-7905    1200-2400       N-8-1           E
INFONET                 800-876-4638     300-2400       E-7-1           DWN
INFORMER                800-666-9811     300-2400       N-8-1           U
INSI-90                 800-222-0011     300-2400       E-7-1           S
I.T.S.                  800-741-6484    1200-2400       N-8-1           G
JAMZ                    800-829-2828     300-2400       N-8-1           $
JEPP/LINK               800-767-7000     300-2400       N-8-1           $
JHM BBS                 800-999-7323     300-2400       N-8-1           G
JOBS              *NEW* 800-252-5627    1200-2400       N-8-1           G
THE JUDGES CHAMBERS     800-363-5318    1200-9600       N-8-1           G$
KETNET                  800-866-7856     300-2400       N-8-1           E
LABOR NEWS              800-597-1221    1200-2400       N-8-1           G
LABOR DEPT.             800-735-7396    1200-9600       N-8-1           G
LAMP                    800-642-1982     300-2400       N-8-1           E
LEADING EDGE            800-522-5032     300-2400       N-8-1           S
LEAP                    800-331-3664     300-2400       N-8-1           E
LEXMARK                 800-453-9223    1200-9600       N-8-1           S
LIEPS                   800-522-6388     300-2400       N-8-1           E
LINOTYPE-HELL           800-477-9639     300-2400       N-8-1           S
LMEA                    800-422-7075     300-2400       N-8-1           E
MARYLAND TECH           800-952-1414     300-2400       N-8-1           E
McGRAW-HILL             800-248-7677     300-2400       N-8-1           E
MCI                     800-234-6245     300-2400       N-8-1           E-M$
MCI                     800-873-5548     300-2400       N-8-1           $
ME-LINK           *NEW* 800-244-0089    1200-9600       N-8-1           E
METNET                  800-346-8654     300-2400       N-8-1           E
METNET            *NEW* 800-685-0586    1200-2400       N-8-1           E
MID-AMERICA       *NEW* 800-437-8932    1200-9600       N-8-1           S
MIT                     800-545-0086     300-2400       N-8-1           E
MOLIS                   800-626-6547     300-2400       N-8-1           E
MLINK             *NEW* 800-254-6587    1200-9600       N-8-1           G
MT. DEPT. COMMERCE      800-962-1729     300-2400       N-8-1           E
MTA                     800-523-8883     300-2400       N-8-1           G
MULTI-TECH        *NEW* 800-392-2432    1200-9600       N-8-1           S
NASA                    800-255-6272     300-2400       N-8-1           SA-DWN
NASC                    800-472-4354     300-9600       N-8-1           G
NATIONAL MATERIALS BBS  800-858-6625    1200-2400       N-8-1           S
NAUTILUS                800-531-5623    1200-9600       N-8-1           G
NCR               *NEW* 800-832-0627    1200-9600       N-8-1           S
NMC BBS                 800-445-7218     300-2400       N-8-1           S
NTIS              *NEW* 800-553-6847    1200-9600       N-8-1           S
GEOLOGICAL              800-358-2663     300-2400       N-8-1           G
NAUTILUS                800-531-5623     300-14400      N-8-1           G
NBIA                    800-624-2723     300-2400       N-8-1           E
NEA                     800-541-0816     300-2400       N-8-1           E
NEBLINK           *NEW* 800-389-6495    1200-9600       N-8-1           G
NEBRASKA ONLINE   *NEW* 800-392-7932    1200-9600       N-8-1           E
NEWTON            *NEW* 800-533-0547    1200-2400       N-8-1           E
NYCENET                 800-542-8604     300-2400       N-8-1           SA-G
OASIS                   800-552-8699     300-2400       N-8-1           E
OKIDATA                 800-283-5474     300-9600       N-8-1           G
OVER THE WALL           800-982-8762    1200-9600       N-8-1           G
ORIGINS                 800-422-7075     300-2400       N-8-1           G
PACIFIC MATERIALS NEW*  800-858-6625    1200-9600       N-8-1           S
PAC*IT PLUS             800-234-2796     300-2400       E-7-1           DWN
PC PURSUIT BBS          800-877-2006     300-2400       N-8-1           SU
PEER              *NEW* 800-527-4931    1200-2400       N-8-1           E
PSEA                    800-374-7732     300-2400       N-8-1           E
PENN SATE COLLEGE       800-692-7421     300-2400       N-8-1           E
PENNY-WISE              800-752-3012     300-2400       N-8-1           Shping
PIE-ON-LIE        *NEW* 800-873-4743    1200-2400       N-8-1           S
PIN                     800-248-1038     300-2400       N-8-1           E
PINET                   800-727-4638     300-2400       N-8-1           E
PNMN                    800-233-3163     300-2400       N-8-1           G-S
PROLINE                 800-776-3936     300-2400       N-8-1           U
PUBLIC DATA NETWORK     800-927-9533     300-9600       N-8-1           G
RECYCLELINE             800-461-0707     300-2400       N-8-1           S
RUTGER'S BBS            800-722-8305     300-2400       N-8-1           E
SBA                     800-859-4636     300-2400       N-8-1           G
SBA                     800-697-4636    1200-9600       N-8-1           G
SEADOG            *NEW* 800-873-2325    1200-2400       N-8-1           P
SCHOOLHOUSE             800-642-6371     300-2400       N-8-1           E
SEND IT                 800-424-9499     300-2400       N-8-1           G
SIGNETIC                800-451-6644     300-2400       N-8-1           S
SLIS                    800-685-3345    1200-9600       N-8-1           E
SPACEMET                800-288-1008     300-2400       N-8-1           E
STATE OF MONTANA        800-962-1729     300-2400       N-8-1           E
SERVE-LINE BBS          800-487-7605     300-2400       N-8-1           G-$
SWICH                   800-677-9494     300-2400       N-8-1           G
TECHNET           *NEW* 800-456-2720    1200-9600       N-8-1           E
TELENET                 800-546-3000     300-2400       E-7-1           DWN
TELENET                 800-242-9494     1200-9600      E-7-1           DWN
TELENET                 800-546-1000     1200-9600      E-7-1           DWN
TELENET                 800-546-2500     300-9600       E-7-1           DWN
TELEPHONE DIR. BBS      800-927-9533     300-2400       N-8-1           G
TEXAS CONNECTIONS BBS   800-678-7415     300-2400       N-8-1           E
TEXAS EDUCATION         800-258-3638     1200-2400      N-8-1           E
THE DEN                 800-222-3273     300-2400       N-8-1           S
THE IDIOT BOX           800-223-2518     1200-9600      N-8-1           G-$
THE MOTHERBOARD         800-226-6171     1200-9600      N-8-1           G
TOOLS FOR LIFE          800-578-8666     1200-9600      N-8-1           G
TIME                    800-247-3261     300-2400       N-8-1           SA-G
TOWN HALL               800-648-6964     300-2400       N-8-1           G-$
TYMNET                  800-222-0555     300-2400       E-7-1           DWN
TYMNET                  800-766-7676     1200-2400      E-7-1           DWN
UAB                     800-822-1775     300-2400       N-8-1           E
UCCS                    800-888-3051     300-2400       N-8-1           G
UNISYS            *NEW* 800-828-8796    1200-9600       N-8-1           G
UNIV. OKLAHOMA          800-765-6552     300-2400       N-8-1           E
US                      800-336-0767     300-2400       N-8-1           G
U.S. EPA          *NEW* 800-258-9605    1200-9600       N-8-1           S
US SPRINT               800-877-2006     300-2400       N-8-1           S
USA SPORTS CENTER       800-654-2319     300-2400       N-8-1           $
VAPEN             *NEW* 800-537-4481     300-2400       N-8-1           E
VAPEN             *NEW* 800-281-9797     300-2400       N-8-1           E
V.A. ASSISTIVE    *NEW* 800-238-7955    1200-9600       N-8-1           S
WANG              *NEW* 800-848-1112    1200-9600       N-8-1           S
WASH STATE BBS          800-622-4637     300-2400       N-8-1           E
WEST COAST        *NEW* 800-395-7940    1200-9600       N-8-1           G
W.V. MICRO              800-642-1982     300-2400       N-8-1           E
WDPI                    800-322-9374     300-2400       N-8-1           E
WEATHERBANK             800-827-2727     300-2400       N-8-1           $
WINE-ONLINE             800-972-3680     300-2400       N-8-1           $
WORLD LINK              800-827-2835     300-2400       N-8-1           S
WTIE                    800-544-1936     300-2400       N-8-1           S
WYOMINO                 800-448-0640     300-2400       N-8-1           E
-----------------------------------------------------------------------------
E=EDUCATIONAL BOARD          :
SA=SPECIAL ACCESS NEEDED     :
S=SUPPORT BOARD              :
G=GENERAL BOARD              :
U=UNKNOWN BOARD              :
EM=ELECTRONIC MAIL SERVICE   :
$=PAY SERVICE                :
DWN=DATA SWITCHING NETWORK   :
SU=SIGNUP ONLY BOARD         :
----------------------------------------------------------------------------


