Listing Created : 04-28-95  09:08:45


                          The HealthCare Network

                               BBS Listing

The following systems represent BBSs which are Networked into the Health
Care Network via a Fido compatible mailer. They accept Direct calls from
individual users.

Sorted by Phone Number

BBS Name                              Location             Phone Number
The DisABILITY BBS                    Portland OR          1-503-238-6605
+ POSITIVELY + HEALTHY+               Portland OR          1-503-243-2557
The Red Baron's HideAway              Portland OR          1-503-245-2369
Oregon Software Connection            Salem OR             1-503-364-9998
THE LAST CHANCE SYSTEMS BBS           Portland OR          1-503-735-9812
Land of the Gypsy's                   Baton Rouge LA       1-504-923-3053
The Hermit's Outlook                  Las Vegas NM         1-505-454-8364
The Way of Life                       Leominster MA        1-508-537-4118
PandA's Den BBS                       Danvers MA           1-508-750-0250
Keystone BBS                          Shrewsbury MA        1-508-753-3767
The Seagull BBS                       West Yarmouth MA     1-508-771-5480
Call Again Soon                       Worcester Ma         1-508-791-8456
This Is The Place                     Worcester Ma         1-508-792-8503
Satellite Feed                        Rochdale MA          1-508-892-1186
HCN South Central Region 600 REC      AL AR LA MS OK TX    1-512-251-3746
Central TX Emergency Services         Austin TX            1-512-251-3746
Diabetes Discussion                   Austin TX            1-512-451-9737
Computer Support Hot-Line BBS         Des Moines IA        1-515-246-1353
PC Info System                        Mill Neck NY         1-516-624-7441
The Silicon Garden                    Coram NY             1-516-736-7010
Wolverine                             Freeland MI          1-517-695-9964
Dissociation Network                  Albany NY            1-518-462-6134
The Med Link                          Southhaven MS        1-601-781-3100
The Pill Box BBS                      Jackson MS           1-601-984-2613
The Emergency Room BBS                Londonderry Nh       1-603-432-2974
Cyber Space Connection I              Nashua Nh            1-603-881-4960
The Purple Shamrock                   Nashua NH            1-603-888-6917
Falcons' Nest/VTLK #47                Nashua Nh            1-603-891-0475
Abyss BBS                             Nanaimo BC           1-604-245-2202
The Power Surge BBS                   Chemainus BC         1-604-246-2910
Autism Online                         Burnaby BC           1-604-421-4718
Viper                                 Vancouver BC         1-604-433-3657
Metamorphosis II                      Burnaby BC           1-604-439-7088
TASH Online Disability Resource       AlderGrove BC        1-604-524-2130
Renee's Place                         Surrey BC            1-604-599-3885
Second Chance                         Nanaimo BC           1-604-753-9137
Family Research BBS                   Nanaimo BC           1-604-756-4304
Family Research BBS                   Nanaimo BC           1-604-758-8157
TASH Online Disability Resource       AlderGrove BC        1-604-856-3661
The GUI Beaker                        Vancouver BC         1-604-925-7534
Higher Power III                      Coquitlam BC         1-604-945-6527
Algorithms BBS                        Bridgeton NJ         1-609-451-7950
Maple Shade Opus                      Maple Shade NJ       1-609-482-8604
Black Bag BBS                         Collegeville PA      1-610-454-7396
The Hurricane BBS                     Collingdale PA       1-610-534-1377
DRAGnet Information Service           Andover MN           1-612-753-1943
The Vault BBS                         Marion OH            1-614-387-2767
Kerygma                               Nashville TN         1-615-391-5771
SteelHeart BBS                        Nashville TN         1-615-399-9154
TechTips BBS                          Nashville TN         1-615-662-5712
TechTips BBS                          Nashville TN         1-615-662-5712
Help Info BBS                         San Diego CA         1-619-275-0146
Mushin BBS                            San Diego CA         1-619-452-8137
Acnet                                 Arlington VA         1-703-979-3617
Futura                                Grover NC            1-704-739-0013
Encode Online                         Orillia ON           1-705-327-7629
PrimeTime                             Kilworthy ON         1-705-689-1757
The Red Pencil                        Sault Ste. Marie ON  1-705-759-4604
Batteries Not Included!               Sault Ste. Marie ON  1-705-759-4885
THE disABILITY NETWORK BBS            Ed Ridgley           1-706-563-7592
Madmen and Maniacs                    Martinez GA          1-706-860-5781
The Music Connection                  Martinez GA          1-706-863-9668
Eye Resources Network                 Des Plaines IL       1-708-299-0687
The Health Center                     Houston Tx           1-713-439-6325
Computer Living F'n                   Houston Tx           1-713-444-2927
Eternity Inc.                         Houston Tx           1-713-452-7008
The Blue Eagle BBS                    LaPorte Tx           1-713-471-2330
The Enchanted Forest                  Houston Tx           1-713-493-6018
Goldfinger's BBS                      Houston Tx           1-713-579-2625
Aardvark Park                         Houston Tx           1-713-664-7799
Forty Two                             Houston Tx           1-713-795-4999
SW X - Southwest Crossing BBS !       Houston Tx           1-713-933-9303
The Promised Land                     Marshfield WI        1-715-387-1339
Cyber-Quest                           Athens PA            1-717-888-5630
VitalSigns BBS                        Midvale UT           1-801-255-8909
Socialism Online                      Sheffield Vt         1-802-626-4103
Spartacus Lives                       Sheffield VT         1-802-626-5806
>HARVEST-TIME<                        Laurens South Caroli 1-803-682-4253
$$ Business Online $$                 Charleston SC        1-803-795-9057
Farther Along                         Taylors SC           1-803-879-7713
Club PC BBS                           Smithfield Va        1-804-357-0357
HandiNet B B S                        Virginia Beach VA    1-804-496-3320
A New Day BBS                         Keysville Va         1-804-736-8688
Lyme light                            Warren MI            1-810-774-5038
The Summit SearchLight                Cresson PA           1-814-886-2563
Beyond Tomorrow                       Moberly MO           1-816-263-0980
The Microbiology BBS                  Arlington TX         1-817-557-0330
The Electric Fox                      Memphis TN           1-901-327-1008
Joe's Garage BBS                      Bartlett TN          1-901-382-0268
Ray's PlayGround                      Memphis Tn           1-901-387-0469
Fat Baby's! BBS                       Memphis TN           1-901-388-3179
Fayette County EMA BBS                Somerville TN        1-901-465-2608
OBRA Services LTC BBS                 Lindale TX           1-903-882-9916
The Land Of Imagination               Pensacola FL         1-904-438-2648
Nature Coast                          Weeki Watchee Fl     1-904-596-6234
The World Beyond                      Crestview Fl         1-904-682-4986
The Shuttle Pad                       Jacksonville FL      1-904-766-8938
The Shuttle Pad                       Jacksonville FL      1-904-766-8938
Wise Mail Node                        Welland ON           1-905-732-2524
Malfunction Junction                  Brunswick GA         1-912-261-8332
The Outhouse BBS                      Hinesville GA        1-912-368-9626
Code Plus BBS                         Warner Robins GA     1-912-953-1053
Code Plus BBS                         Warner Robins GA     1-912-953-1191
Code Plus BBS                         Warner Robins GA     1-912-953-9906
RY's PC                               Millen GA            1-912-982-3964
TFSnet Online Information Service     Mission KS           1-913-262-6065
The On-Line Connection!               Manhattan KS         1-913-587-0241
AccessTV BBS                          Monroe NY            1-914-774-8947
The Twisted Pair!                     San Angelo TX        1-915-949-0721
Black Gold BBS                        Tulsa OK             1-918-272-3910
Running Hot BBS                       Tulsa OK             1-918-665-2773
Hack on the Beach BBS                 Aruba Dutch Carribea 297-8-56851
Atos CBIS #2                          Almada               351-1-2744727
NEC Europe                            Almada               351-1-2745808
Simposium BBS                         Costa da Caparica    351-1-2913074
Quark BBS                             Lisboa               351-1-7571084
Medisis BBS                           Lisboa               351-1-7966595
Garfield's Sandbox                    Bonn Germany         49-228-317839
MediCus BBS                           Muenster Germany     49-251-786840
LifeBox Munster                       Munster-Roxel German 49-2534-5215
LifeBox Muenster                      Muenster Germany     49-2534-5215
ApoNet Host System                    Rendsburg Germany    49-4331-787622
ApoNet Host System                    Rendsburg Germany    49-4331-787622
OLMEDIC BBS                           Oldenburg Germany    49-441-303958
RESCUE-CONNEXTION                     Wentorf Germany      49-4536-1486
RESCUE-CONNEXTION ISDN                Wentorf Germany      49-4536-891018
PET STUDY GROUP                       Heidelberg Germany   49-6221-422476
PET STUDY GROUP ISDN                  Heidelberg Germany   49-6221-641008
H.M.I.L.                              Leimen Germany       49-6224-81897
Raptor's Inn BBS                      Fuerth Germany       49-6253-22933
REC EUROPE                            Fuerth Germany       49-6253-931017
Pasito Tun Tun                        Col. Del Valle Mexic 52-8-356-8446
-------------------------------------------------------------------------

The information presented to you here has been pulled from the Health
Care Network's St. Louis style nodelist.

Because of the process used in developing this listing, only systems
which have an entry within the Health Care Network's NodeList and whose
entries do not indicate an administrative node and most important, those
which accept human callers, are listed here.

The process is automated, and this list will reflect changes made within
the HealthCare Network's NodeList as they occur.

The latest version of this list can be FREQed from the BBS listed
below by using the Magic Name of  HNBBS


Rick Catania
The Special Needs BBS
Whiting, Indiana
(219) 659-0112 (v.32b)

HealthCare Net 60:400/0
FidoNet        1:230/22


