
                                    144BBS.TXT
           US BBS's Supporting v.32, v.32bis, v.fc & v.34 CONNECTs

                         Compiled and Distributed by:
                      The DownTown BBS - Los Angeles, CA
                                (213) 484-0260
                  [3/12/24/96/14.4k v.32bis - Public Access]
         9600 v.32/14.4k v.32bis/14.4k HST/16.8 ZyXEL Lines Available

             See 144MDM.LST for Modem abbreviations used below.

  AC/Phone        BBS Name                        City       State  Modem
214-907-2992  MetroLines BBS              Dallas             TX     V32B
215-883-1900  ONIX BBS                    Philadelphia       PA     V34
217-224-3203  ProfitMaker BBS             Quincy             IL     V32B
219-324-4713  Rob's BBS Arcade            La Porte           IN     V32B
219-325-3655  Rob's BBS Arcade            La Porte           IN     VFC
219-873-1949  Mike's Host Mode BBS        Michigan City      IN     V32B
301-552-4414  GlobeNet BBS                Beltsville         MD     V32B
301-946-6056  The_Digital_Link            Silver Spring      MD     V32B
301-994-9460  Hafa Adai Exchange          Great Mills        MD     V34
301-994-9462  Hafa Adai Exchange          Great Mills        MD     V34
305-360-2991  The House of ICHTHYS        Deerfield Beach    FL     V32B
305-583-7808  Galacticomm Demo System     Fort Lauderdale    FL     V34
305-726-3849  Logic Circuit - Logicom     Tamarac            FL     V32B
307-234-5580  PhonePole                   Casper             WY     V32B
307-472-4656  Sirius Software Support     Casper             WY     V32B
310-204-6158  Camelot Files/Message BBS   Culver City        CA     V34E
310-274-7289  Virtual Spectrum BBS        West Los Angeles   CA     V32B
310-306-5134  Skeleton Crew               Venice             CA     V32B
310-306-9775  Skeleton Crew               Venice             CA     V32B
310-371-3737  The Source BBS              Lawndale           CA     V34E
310-378-3081  The Bad Bpy BBS!            Torrance           CA     V34F
310-395-0872  Santa Monica High School B  Santa Monica       CA     V32B
310-398-9382  Federation HeadQuarters BB  West Los Angeles   CA     V32B
310-402-5213  Far East Asian Connection   Cerritos           CA     V34
310-407-1300  Hotel California            Santa Fe Springs   CA     V32B
310-421-6766  One Stop Tech Shop          Long Beach         CA     V34E
310-459-1264  The LINK BBS                Pacific Palisades  CA     VFC
310-496-4154  Circuit Breaker BBS         Long Beach         CA     V32B
310-532-1700  KBBS                        Compton            CA     V34
310-539-6330  Illusions BBS               Harbor City        CA     V32B
310-558-0145  KBBS                        Culver City        CA     V34
310-645-0038  Total System Control        Los Angeles        CA     V34
310-676-3534  The Great Escape            Gardena            CA     V32B
310-677-7034  The BizOpps Connection      Los Angeles        CA     V32B
310-815-0117  Miller's Party Board        Culver City        CA     V32B
310-823-4978  The Quantum Connection      Marina Del Rey     CA     V32B
310-827-2801  LACS BBS                    Los Angeles        CA     VFC
310-827-8171  LACS BBS                    Los Angeles        CA     V32B
310-838-9229  West Los Angeles BBS        West Los Angeles   CA     V34F
310-915-5862  The Bad Bpy BBS!            Torrance           CA     V34F
312-767-5787  PUB Desktop Publishing      Chicago            IL     V32B
312-767-6964  PUB Desktop Publishing      Chicago            IL     VFC
313-291-5571  Gateway Online              Detroit            MI     V32B
314-367-1903  SLACC STACK                 St. Louis          MO     V32B
334-347-3001  UP ALL NIGHT BBS            Enterprise         AL     V34E
334-409-0956  HomeOwners Haven Bbs        Montgomery         AL     V32B
3O5-792-9622  Information Interchange BB  Fort Lauderdale    FL     VFC
402-597-2666  HawgWild! BBS               Omaha              NE     V34E
404-426-8368  The MetroDooM BBS           Atlanta            GA     V34
404-435-9822  Independence BBS!           Atlanta            GA     V32B
404-590-9375  The MetroDooM BBS           Atlanta            GA     V34
405-478-8250  MEDICUS BBS                 Edmond             OK     V34E
405-491-0751  Huggy Bears BBS II          Oklahoma City      OK     V32B
405-949-2090  Huggy Bears BBS I           Oklahoma City      OK     V32
407-691-9125  The Satellite BBS           Palm Beach Garden  FL     VFC
408-366-1804  The Holodeck BBS            San Jose           CA     V32B
409-943-5044  The Riser                   Texas City         TX     V32B
410-239-7473  ShareWare Paradise          Westminster        MD     V34E
414-253-7609  Over The Edge               Milwaukee          WI     V32B
414-384-9136  The Black Unicorn           Milwaukee          WI     VFC
415-323-4198  SPACE BBS                   Menlo Park         CA     V34E
415-383-2983  Love Bytes BBS              San Francisco      CA     V32B
415-574-3663  Toad Hall                   San Carlos         CA     V34F
415-595-2427  Toad Hall                   San Carlos         CA     V34F
502-363-5001  The SandCastle              Louisville         KY     VFC
502-454-9931  On-Line Exchange            Louisville         KY     V34
503-232-9202  Banished CPU                Portland           OR     V34
505-898-7120  Dead End bbs                Albuquerque        NM     V32B
510-777-1314  Community Access BBS        Antioch            CA     VFC
512-328-2885  The Shareware Connection    Austin             TX     V34+
513-753-0071  ziGGy's PARTyTIME BBS       Amelia             OH     V34+
516-377-0124  Intelec Online              Baldwin            NY     V34E
516-868-0662  Intelec Online              Baldwin            NY     V34E
516-868-1741  Intelec Online              Baldwin            NY     V34E
518-785-1040  The ACCESS Network          Latham             NY     V32B
520-290-2807  Demodulator                 Tucson             AZ     V34E
602-292-0065  Digital Concepts BBS        Tucson             AZ     V32B
603-647-3068  Whiz Data Network           Manchester         NH     V32B
609-392-5953  Polymath One EIS            Trenton            NJ     V34E
609-541-2417  TOP SECRET BBS              Camden             NJ     V34
609-987-9539  SSDecontrol                 Princeton          NJ     V34
610-670-8725  The Mercury Project         Wyomissing         PA     V32B
612-522-0166  U.S. VETERANS BBS           Minneapolis        MN     V32B
612-522-2026  U.S. VETERANS BBS           Minneapolis        MN     V32B
612-522-8700  U.S. VETERANS BBS           Minneapolis        MN     V32B
612-588-7563  U.S. VETERANS BBS           Minneapolis        MN     V32B
615-356-0453  3rd Sojourn                 Nashville          TN     VFC
615-896-7949  The Vision BBS              Murfreesboro       TN     V32B
615-952-9396  Nashville OnLine Mall       Kingston Springs   TN     V32B
616-275-7000  Alien's Spaceship           Traverse City      MI     V32B
617-846-7394  The IMPosium BBS            Boston             MA     V32B
618-345-3663  The Darkroom BBS            Collinsville       IL     V34+
619-486-0596  The Nexus Point             Poway              CA     V32B
619-747-4048  Dream Net BBS               Escondido          CA     V32B
702-242-1794  DPS                         Las Vegas          NV     V34+
703-878-4931  GEEZERS BBS                 Woodbridge         VA     V34E
704-664-6742  Game Room On The Lake       Mooresville        NC     VFC
708-428-6125  MPI Online Services         Chicago            IL     V32B
708-993-0461  The Wild Onion! BBS         Elmhurst           IL     V32B
714-236-9491  Pleasure Island Chateau     Sunset Beach       CA     V34
714-521-5440  The Battle Cry! BBS         Buena Park         CA     V32B
714-537-4300  AuSSie BBS                  Garden Grove       CA     V32B
714-635-5058  The Rising Phoenix          Anaheim            CA     V32B
714-643-3066  Laguna Hills BBS            Laguna Hills       CA     V34E
715-345-1327  The Point BBS               Stevens Point      WI     VFC
716-224-8216  Crystal Palace              Rochester          NY     V32B
716-224-9709  Crystal Palace              Rochester          NY     VFC
717-325-9481  T&J Software BBS            Jim Thorpe         PA     V34
718-353-6994  The Gateway                 Flushing           NY     V34
718-699-0056  The Greek Isles             New York City      NY     V34E
718-699-0832  The Greek Isles             New York City      NY     V32B
718-951-0074  Mind Matters BBS            Brooklyn           NY     V32B
718-951-6652  Mind Matters BBS            Brooklyn           NY     V34
718-972-6099  Star-Link Network           Brooklyn           NY     V34F
800-881-7737  Ships Self Defense BBS      Louisville         KY     VFC
804-768-8621  Metro Connection            Richmond           VA     V34
804-978-7182  The V.I.N.E. System         Charlottesville    VA     V32B
805-255-5006  KBBS                        Newhall-SCV        CA     V34
805-498-1374  Thousand Oaks PC Club       Newbury Park       CA     V34
805-520-7323  KBBS                        Simi-Moorpark      CA     V34
805-722-5758  Hi-Desert Hangout           Lancaster          CA     V34
808-621-8845  The Aloha Network           Oahu               HI     V32B
810-680-8861  Electronic Lucidity         Troy               MI     V32B
810-751-6704  Short Circuit BBS           Warren             MI     V34E
813-277-0906  *ASTRO* BBS                 Ft. Myers          FL     VFC
813-635-7213  The Blue Grotto BBS         Frostproof         FL     V34
813-726-7724  Gabriel's Net               Safety Harbor      FL     VFC
814-886-2563  The Summit SearchLight      Cresson            PA     V34
816-331-5868  Howard's Notebook           Belton             MO     V34
816-796-7078  Cypress Corners BBS         Independence       MO     V32B
817-473-2089  We Do Windows               Mansfield          TX     VFC
818-248-3088  Hottips BBS                 Glendale           CA     V34E
818-248-8974  Hottips BBS                 Glendale           CA     V34E
818-249-5647  The Online Writer           La Crescenta       CA     V32B
818-285-8684  SouthWest BBS               Pasadena           CA     V34+
818-288-0573  Eclair BBS                  Monterey Park      CA     VFC
818-330-1739  Medi-Call BBS               La Puente          CA     V32B
818-353-5873  The AirConditioned Nightma  Tujunga            CA     VFC
818-366-1238  The MOG-UR'S EMS            Granada Hills      CA     V32B
818-366-8929  The MOG-UR'S EMS            Granada Hills      CA     V32B
818-368-3337  Earthquake City BBS         Granada Hills      CA     V32B
818-441-3867  The Continuum               South Pasadena     CA     V32B
818-445-5051  KBBS                        Arcadia            CA     V34
818-505-9848  KBBS                        N. Hollywood       CA     V34
818-507-1365  KBBS                        Glendale           CA     V34
818-558-7963  SkyNet BBS                  Burbank            CA     V32B
818-564-8548  The Water Fountain          Pasadena           CA     V32B
818-566-7912  Rambo-Scan BBS              Burbank            CA     V32B
818-569-3740  Panasia BBS                 Glendale           CA     V34E
818-718-1600  The Info-Tainment BBS       Winnetka           CA     V32B
818-727-7639  Sleuth BBS                  Chatsworth         CA     V32B
818-757-3532  Virtual Spectrum BBS        Encino             CA     V32B
818-762-1288  The Sovereignty Workshop    Toluca Lake        CA     VFC
818-763-9006  Computer One BBS            North Hollywood    CA     V32B
818-779-5600  The Annex! BBS              Van Nuys           CA     V32B
818-791-2252  New Image BBS!              Pasadena           CA     V32B
818-793-9108  Southland BBS               Pasadena           CA     V32B
818-794-0490  The Labyrinth               Altadena           CA     V32B
818-846-9304  Bad-Boy's BBS               Burbank            CA     V32B
818-848-4101  Blue Thunder BBS            Burbank            CA     V34E
818-883-5065  The Singles Network         Woodland Hills     CA     V32B
818-886-0872  KBBS                        Northridge         CA     V34
818-889-2546  KBBS                        Agoura             CA     V34
818-896-2007  The Ledge                   Lake View Terrace  CA     V34E
818-918-5757  The Better Half             West Covina        CA     V34F
818-919-0777  The Nocturnal Sanctuary     La Puente          CA     V32B
818-980-2224  InfoRec BBS                 North Hollywood    CA     V32B
818-985-7848  Cafe Nebula                 North Hollywood    CA     V32B
818-994-0442  KBBS                        Van Nuys           CA     V34
818-995-6959  L.A. Info-Tainment Multipl  Winnetka           CA     V32B
901-925-2503  Blackbeard's BBS            Savannah           TN     V32B
904-939-0861  Wrinkles & Feathers BBS     Navarre            FL     V32
904-939-8404  Wrinkles & Feathers BBS     Navarre            FL     V34
907-522-2900  Softworks BBS               Anchorage          AK     V32B
908-249-7139  Renasci BBS                 Highland Park      NJ     V32B
908-506-7637  CyberComm Online Services   Toms River         NJ     V32B
908-571-4666  The Hot Spot BBS            Long Branch        NJ     V32B
909-681-6221  ATTENTION to Details BBS    Mira Loma          CA     V32B
909-687-0617  The Mouse Works! BBS        Riverside          CA     VFC
909-902-0947  The Abyss BBS               Chino Hills        CA     V32T
913-832-0041  Metropolis                  Lawrence           KS     V32B
913-887-6699  Great America               Lecompton          KS     V32B
914-242-8227  New York MetroChat          Mt. Kisco          NY     V32B
914-736-1253  Dark Side of the Moon       Crompond           NY     V32B
914-736-2235  Dark Side of the Moon       Crompond           NY     V34F
914-736-3186  Dark Side of the Moon       Crompond           NY     V34E
914-736-3714  Dark Side of the Moon       Crompond           NY     V34E
916-366-3216  Coconut Telegraph           Sacramento         CA     V34
916-929-7511  BOBsBBS                     Sacramento         CA     V34E
916-962-3973  For Adults Only BBS         Sacramento         CA     V32B
916-991-9678  Bowlers BBS                 Rio Linda          CA     VFC
------------||--------------------------||-----------------||-----||-----|

                              234 Entries in 144BBS
                                  End of File
                            Thanks for using 144BBS!

