International Apple II BBS List, September 1993
----------------------------------------------
Compiled by Mike Shecket
Additions, corrections, comments to:
mshecket@pro-tcc.cts.com (Proline)
Mike_Shecket@tap.colum.fnet.org (Futurenet)
4@NJ (Teamnet)
----------------------------------------------
Updated 08/31/93

Name                            Location                Phone Number  
The Triumvirate                 Baltimore, MD           410-486-9812
Pro-Cynosure                    Eldersburg, MD          410-549-2584
Text Stream                     Milwaukee, WI           414-545-4140
Valhalla                        San Francisco, CA       415-221-4370
The Motherboard                 San Francisco, CA       415-991-4832
Corrosion of Conformity         Mansfield, MO           417-924-8028
Pro-Gab                         Mansfield, OH           419-522-9221
PseudoCode                      Fort Smith, AR          501-785-5381
WAC BBS                         Salem, OR               503-363-0861
Midian's Niche                  Oregon                  503-683-7354
Pro-Gallup                      Gallup, NM              505-722-9513
Manzana                         Albuquerque, NM         505-839-9043
Bit Bucket Central              Mankato, MN             507-345-3471
Lost Gonzo BBS                  Mankato, MN             507-625-8321
Fireball                        Natick, MA              508-650-9315
Pro-Greens                      Benton City, WA         509-588-3519
House of Games                  Alameda, CA             510-523-6306
Pro-Christ                      Fremont, CA             510-791-1370
Infinity's Edge                 San Ramon, CA           510-820-9401
Pro-Lep                         Austin, TX              512-288-2114
Pro-Smof                        Austin, TX              512-467-7317
Wunderland                      Austin, TX              512-472-0544
Pro-Party                       Corpus Christi, TX      512-882-1899
Even Flow                       Austin, TX              512-892-5264
STIX                            Corpus Christi, TX      512-992-4855
The Apple Corps                 Cincinnati, OH          513-683-0445
We Are Joining U                Quebec, Canada          514-966-9258
Anti-Matter                     Adrian, MI              517-263-8384
Plain Vanilla                   Scotia, NY              518-462-5953
Das Kludge                      Phoenix, AZ             602-258-7667
Spectrum Systems                Mesa, AZ                602-345-6159
Tuscon Apple Core               Tuscon, AZ              602-882-2945
Pro-PHX                         Phoenix, AZ             602-939-7376
The Black Tower                 Delta, BC, Canada       604-591-5131
The Apple Experience            Surrey, BC, Canada      604-596-7398
Virtual Reality                 Rapid City, SD          605-348-5539
Country Inn                     Absecon, NJ             609-652-7103
Pro-Found                       Plymouth, MN            612-559-7822
Pro-PHC                         Hutchinson, MN          612-587-0766
Pro-Ragstock                    St. Paul, MN            612-649-1032
Pro-Algonquin                   Monticello, MN          612-772-8628
Apocalyptic City                Minnesota               612-789-3613
Works For Me                    Columbus, OH            614-224-3970
Pro-Coach                       Columbus, OH            614-262-4946
The Atomic Playground           Columbus, OH            614-297-7031
Pro-WBBS                        Worthington, OH         614-431-7995
Way Out                         Worthington, OH         614-436-4846
Navarone Junction               Columbus, OH            614-451-3364
Pro-TCC                         Columbus, OH            614-471-1265
Pro-MM                          Columbus, OH            614-475-9791
Dragon Fire                     Columbus, OH            614-890-2461
Pro-Gonzo                       Chattenooga, TN         615-875-6570
Pro-XY                          Kalamazoo, MI           616-381-1726
Pro-AppleBCS                    Cambridge, MA           617-232-2244
Pro-NBS                         San Diego, CA           617-571-0152
The New Beginnings              Massachusetts           617-648-5874
Pro-Desert                      Hot Springs, CA         619-251-1297
The Space Bar                   Oceanside, CA           619-433-4653
Pro-Amber                       Spring Valley, CA       619-460-9762
Pro-Sol                         San Diego, CA           619-670-5379
Pro-NSDApple                    San Diego, CA           619-689-2605
Pro-Sat                         Jamul, CA               619-697-0261
Alltech Electronics             Oceanside, CA           619-721-0705
Newton's Fruit Users Group BBS  Hesperia, CA            619-956-2631
The Next Generation             Oceanside, CA           619-966-0114
L&L Productions                 Reno, NV                702-322-5551
Apples Only                     Las Vegas, NV           702-646-7007
Pro-Columns                     Arlington, VA           703-237-4915
The East Coast BBS              Virginia                703-271-8431
Data Base II                    Virginia                703-323-5840
The Cider Keg                   Great Falls, VA         703-450-6901
Starport                        Falls Church, VA        703-560-9308
Pro-Novapple                    Falls Church, VA        703-671-0416
The Board                       Roanoke, VA             703-977-1558
CACC BBS                        Charlotte, NC           704-563-6233
Pro-Charlotte                   Charlotte, NC           704-567-0029
Pro-Ed                          Columbus, GA            706-561-0149
Mass Destruction                Travis AFB, CA          707-437-4241
Pro-Odyssey                     Fairfield, CA           707-437-4734
Gravenstien Apple Users Group   Rohnert Park, CA        707-585-0865
Hemp Foundation                 Chicago, IL             708-394-9594
Golden Galleon                  Chicago, IL             708-577-1511
Apple Tree Computer Club BBS    Homewood, IL            708-597-6942
Silver Tongue                   Chicago vicinity, IL    708-759-1916
Celestial Haven BBS             Darien, IL              708-852-9765
Parrot Head Supplies            Chicago vicinity, IL    708-887-1209
N-shore Apple Users Group BBS   Skokie, IL              708-967-7483
The Martial Art Academy         Chicago vicinity, IL    708-967-7503
The Comm Room                   La Porte, TX            713-471-2330
Fortress Citadel                La Porte, TX            713-471-2344
Omicron Theta                   Houston, TX             713-781-0306
The Houston Times               Houston, TX             713-783-0539
Apple Elite II                  Riverside, CA           714-359-5338
The Bum's Palace                Santa Ana, CA           714-432-7327
The Micro Exchange              Fullerton, CA           714-992-4520
Goose's Roost                   Fairport, NY            716-223-0412
Blackie's Apple                 New York                716-458-4887
Pro-ABC                         Youngstown, NY          716-633-9469
The Library BBS                 Hershey, PA             717-566-1699
Software Alive                  Brooklyn, NY            718-822-7019
Aventure                        Colorado Springs, CO    719-574-6589
The Mac Journal BBS             Norwich, VT             802-649-3825
ProBoard II                     Paso Robles, CA         805-239-4292
Pro-Scat                        St. Petersburg, FL      813-347-5104
The Foundation                  Tampa, FL               813-839-4370
Imladris                        Brandon, FL             813-888-9959
EAC Express                     Erie, PA                814-838-8510
The Cutting Edge                Rockford, IL            815-633-0120
AppleCore                       Mach. Park, IL          815-633-0188
Pro-Ren                         Wonder Lake, IL         815-728-0455
Brave Neuro World               Fort Worth, TX          817-847-7249
Tri-City Apple User Group BBS   Pasadena, CA            818-288-5640
The Bloodsucker BBS             Southern California     818-358-0374
Apple Orchard                   San Fernando Valley, CA 818-782-2161
Valley Apple Computer Club BBS  Arleta, CA              818-782-6471
The Band Stand                  Cordova, TN             901-371-9484
Pro-PDunes                      Mary Esther, FL         904-664-0561
The AAUG BBS                    Ancorage, AK            907-349-1436
The Jungle                      Ancorage, AK            907-562-3901
Apple Elite II                  California              909-359-5338 
AppleJacks of Inland Empire     California              909-369-6637
Pro-Volstaad                    Lake Elsinore, CA       909-674-0777
The Keep BBS                    California              909-864-1524
The Core                        Sacramento, CA          916-481-1096
The Fellowship                  Camino, CA              916-647-1928
Incident at Nestabur            Sacramento, CA          916-688-8325
Pete's Place                    California              916-756-3761
Sound Barrier                   Davis, CA               916-757-7856    
Pro-Ssor                        Chico, CA               916-891-6542
Pro-Gateway                     Tulsa, OK               918-592-4410
NIHES Apple Users' Group BBS    Research Triangle Pk,NC 919-541-0041
Pro-Finders                     New Bern, NC            919-638-5973
