
                                    96LIST
                    BBS's Supporting 9600 bps CONNECT Rates

                         Compiled and Distributed by:
                      The DownTown BBS - Los Angeles, CA
                                (213) 484-0260
                         [3/12/2400 -- Public Access]
              9600 v.32/14.4k v.32bis/14.4k HST Lines Available

             See 96MODEM.LST for Modem abbreviations used below.

  AC/Phone        BBS Name                        City       State  Modem
201-896-8718  The Flight-Deck             Carlstadt          NJ     HST
201-934-0861  Harry's Place               Mahwah             NJ     DS
201-934-9632  Fantasy Island              ......             NJ     CS1
201-935-1104  The BillBoard BBS           Lyndhurst          NJ     ULT
201-935-7008  The Galileo 7               Lyndhurst          NJ     TB
201-948-3428  Poison Pete's               Branchville        NJ     HST
201-956-7703  Operation ANARCHY!          Paterson           NJ     HST
201-984-5555  Atrium Way                  Morris Plains      NJ     DS
201-989-8323  Eureka                      Dover              NJ     DS
202-282-2723  NAVDAC BBS                  Washington         DC     DS
202-466-5353  NGC/PERMANENT/Synergy       Washington         DC     DS
202-544-4285  RRA BBS                     Washington         DC     HST
202-863-1493  Baron Carlos's Castle       Washington         DC     HST4
203-231-8700  Bruce's Bar & Grill         W Hartford         CT     HST
203-235-5908  Meriden Adult BBS           Meriden            CT     DS2
203-238-0462  SDnet/Works-Eastern Star    Meriden            CT     HST
203-250-7899  Equinox                     Cheshire           CT     DS2
203-259-6770  Fast-Track BBS              Fairfield          CT     HST
203-261-6434  Trumbull Mini-BBS           Trumbull           CT     TB
203-263-2573  Green Acres                 Woodbury           CT     HST
203-263-4542  Gateway To Hell             Woodbury           CT     HST
203-268-3111  Lil Frog                    Trumbull           CT     HST
203-271-1579  The Hole in the Woods       Cheshire           CT     HST
203-274-4639  Socialism Online!           Watertown          CT     HST
203-295-8384  Info-Link                   Marlborough        CT     DS
203-324-1115  CompuServe                  Stamford           CT     V32
203-335-7742  The Planet Earth            Bridgeport         CT     DS
203-344-0495  Storm Haven                 Middletown         CT     DS
203-344-1991  K&T's                       Middlefield        CT     V32
203-345-2111  The Big Byte                Higganum           CT     V32
203-375-1751  The Stratford Spitfire      Stratford          CT     HST
203-384-9728  Pleasure Palace ][          Bridgeport         CT     HST
203-387-8626  New Haven Kitten/Seadog     New Haven          CT     DS
203-389-8426  Amiga Connection            Hamden             CT     HST
203-431-4687  Source of Magic             Ridgefield         CT     HST
203-438-4721  The Dark Side               Ridgefield         CT     HST
203-438-9908  Orions Nebula               Ridgefield         CT     V32
203-444-7607  LineNoise BBS               Waterford          CT     HST
203-445-2703  Chronicles Info Network     Groton             CT     DS
203-445-6069  Ghandeel's Fortress         Groton             CT     DS
203-449-8100  Chalkboard II BBS           Groton             CT     HST
203-466-1625  Fritz BBS                   East Haven         CT     HST
203-468-6619  The Ultimate BBS II         North Branford     CT     HST
203-481-6827  PgDn BBS                    Branford           CT     HST
203-483-0348  Fernwood                    Branford           CT     DS
203-484-4621  Hippocampus BBS             Branford           CT     HST
203-488-1115  Alice's Restaurant          Branford           CT     HST
203-523-1987  WGM Computer Consulting     West Hartford      CT     DS
203-528-7181  Dean's Machine              East Harford       CT     HST
203-531-4289  Angelus ComputerConsultant  Greenwich          CT     DS
203-531-4780  OS-Bullet                   Greenwich          CT     DS
203-535-4284  Bits & Bytes BBS            N. Stonington      CT     DS
203-563-6455  Hart-Metro Fido             Wethersfield       CT     TB
203-564-5318  The Plainfield New II       Plainfield         CT     HST
203-564-8579  The Plainfield News         Plainfield         CT     HST
203-582-5462  First Encounter             Bristol            CT     DS
203-582-9791  The Eclipse                 Bristol            CT     HST
203-598-3934  The Storm Front RBBS-PC     Middlebury         CT     HST
203-620-0351  The NEW Farm at Milldale    Milldale           CT     HST
203-621-1930  DownStairs                  Southington        CT     HST
203-621-3461  The Dragons' Lair           Southington        CT     HST
203-628-9702  Cygnus X-I                  Southington        CT     HST
203-634-0370  The SDN Project             Meriden            CT     HST
203-663-1147  The Hub                     Killingworth       CT     HST
203-666-5685  The Daily Planet            Newington          CT     V32
203-688-0675  The Twilight Zone           Windsor            CT     DS
203-727-8708  CompuServe                  Hartford           CT     V32
203-738-0342  HH Info-Net BBS             New Hartford       CT     DS
203-740-7249  The Far Side Outpost        Brookfield         CT     HST
203-743-4044  The Creative Edge           Danbury            CT     DS
203-746-4826  Electro's Den               New Fairfield      CT     HST
203-749-6103  Death's Domain              Enfield            CT     DS
203-753-8351  A Place in the Sun          Waterbury          CT     HST
203-763-3485  The Earth Network           Enfield            CT     HST
203-779-2683  Doc's BBS                   East Killingly     CT     HST
203-779-3173  Mystical Madrigal           Killingly          CT     HST
203-779-3320  The Club                    Danielson          CT     HST
203-791-8532  Treasure Island             Danbury            CT     DS
203-791-8838  Rocky Road                  Danbury            CT     DS
203-794-1653  The Abyss                   Danbury            CT     HST
203-799-7454  TeleTalk                    Orange             CT     HST
203-826-1153  Phone Henge                 New Britain        CT     DS
203-846-3522  NORAD Opus                  Norwalk            CT     HST
203-854-9716  T.S.C.                      Norwalk            CT     DS
203-874-1919  Fr. John's BBS              Devon              CT     HST
203-875-7071  The Water Hole BBS          Ellington          CT     DS
203-878-6355  Mission Ctl II              Milford            CT     HST
203-878-6768  Excalibur IV                Milford            CT     HST
203-889-5422  Divorce Court               Bozrah             CT     V32
203-924-5603  The Soft Parade             Shelton            CT     HST
203-928-4212  The Help File BBS           Woodstock          CT     HST
203-932-6236  Ascii Neighborhood          West Haven         CT     DS
203-933-2690  The Library                 West Haven         CT     HST
203-934-6159  Twilight BBS                West Haven         CT     HST
203-934-9852  Ascii Neighborhood II       West Haven         CT     TB
203-949-0375  Ultimate BBS                Wallingford        CT     DS
203-963-7015  Brain Damaged               Pomfret            CT     V32
204-231-0143  Jazzland                    Winnipeg           MB     HST
204-233-6406  Dozy's Den                  Winnipeg           MB     HST
204-253-1342  Pokey's Place               Winnipeg           MB     ULT
204-269-7373  Tech Talk Toll              Winnipeg           MB     HST
204-275-0687  Vagabond                    Winnipeg           MB     HST
204-275-7416  Parrot                      Winnipeg           MB     DS
204-489-9041  Hyman Industry              Winnipeg           MB     HST
204-663-8490  Manitoba Software           Winnipeg           MB     HST
204-697-0145  Soul Asylum                 Winnipeg           MB     V32
204-775-7079  Info XChange                Winnipeg           MB     HST
204-832-9603  Cobalt's Haven              Winnipeg           MB     HST
204-837-3214  Aerospace BBS               Winnipeg           MB     CS1
204-837-9704  Polar Bear Heaven           Winnipeg           MB     DS
204-943-6508  Muddy Waters UG             Winnipeg           MB     HST
204-947-3010  PD RBBS-PC                  Winnipeg           MB     HST
205-238-0012  The Golden Club             Anniston           AL     HST
205-260-9904  The Com Port                Montgomery         AL     DS2
205-262-3735  The Speed of Light          Montgomery         AL     V32
205-271-3545  The GATEWAY                 Montgomery         AL     DS2
205-277-3882  The Idea Board              Montgomery         AL     HST
205-277-6502  YABBS                       Montgomery         AL     V32
205-279-7313  StarScan                    Montgomery         AL     HST
205-281-6902  Late Night Entertainment    Montgomery         AL     HST
205-340-9440  Just For Fun                Decatur            AL     HST
205-341-5055  On-Line After Late Night    Mobile             AL     HST
205-345-0998  DataWorks BBS!              Tuscaloosa         AL     HST
205-353-3278  Tom's Swap Shop             Decatur            AL     HST
205-355-2983  Byte Swap                   Decatur            AL     HST
205-435-1480  Alabama-On-Line             Jacksonville       AL     DS
205-435-2477  Alabama-On-Line             Jacksonville       AL     2400
205-452-3897  ProTech                     Chickasaw          AL     DS
205-534-5193  Rocket City's               ......             AL     CS1
205-539-2710  Motherboard BBS             Huntsville         AL     HST
205-556-5417  Spectrum WWIV               Tuscaloosa         AL     V32
205-569-1333  The Unicorn                 Slapout            AL     HST
205-663-6015  Central Quest BBS           Helena             AL     HST
205-671-0468  The Southern Pride          Dothan City        AL     HST
205-680-9680  Abject Poverty BBS          Pinson             AL     CS1
205-739-1469  Frontier                    Cullman            AL     HST
205-745-3989  SmorgasBoard                Opelika            AL     HST
205-745-4515  The Lightning Board         Opelika            AL     HST
205-791-0421  Infinite Probability        .....              AL     V32
205-792-1802  Datalink BBS                ......             AL     CS1
205-796-5957  Exchange of Bytes           Cullman            AL     HST
205-822-0956  The DUCK Pond               Hoover             AL     DS
205-837-2871  The Aim High BBS            Huntsville         AL     HST
205-852-1100  The Trading Pos             Huntsville         AL     DS
205-871-3356  Programmer's Shack          Birmingham         AL     HST
205-878-2176  Shareware City BBS          ......             AL     CS1
205-880-7723  Gateway                     Huntsville         AL     HST
205-880-8031  NASAU Beach CBIS            Huntsville         AL     V32
205-881-0889  The Bird's Nest             Huntsville         AL     DS
205-882-3454  Courtyard                   ......             AL     CS1
205-882-6886  Publishers' Paradise BBS    Huntsville         AL     DS2
205-969-0007  Little Kingdom              Birmingham         AL     DS
205-974-5123  Cyclone                     Moulton            AL     HST
205-985-1725  The Outer Limits            Birmingham         AL     HST
205-995-6590  ISA-BBS Birmingham          Birmingham         AL     HST
206-222-6224  Pascal Alley                Snoqualmie         WA     HST
206-242-8028  Mac-A-Mania Nut             Seattle            WA     HST
206-242-9992  CompuServe                  Seattle            WA     V32
206-244-9661  BECS Tandy Heath            Seattle            WA     HST
206-248-7647  Cyberspace BBS              Seattle            WA     HST
206-253-9770  Pacifier BBS                Vancouver          WA     DS
206-254-5071  Taboo BBS                   Vancouver          WA     DS
206-263-1117  Country Computing BBS       ......             WA     CS1
206-277-1689  Starfinder I                Renton             WA     HST
206-282-3065  Bumbershoot BBS             Seattle            WA     HST
206-283-5978  Programmers Info Exchange   Seattle            WA     HST
206-322-0814  Northwest PC Link           Kent               WA     DS
206-338-3168  Silver Lake Too             Everett            WA     DS
206-338-3723  Silver Lake                 Everett            WA     DS
206-338-9361  Mark's Point! BBS           Everett            WA     2400
206-352-2782  The Fireside                ......             WA     CS1
206-353-6966  ProVision                   Mukilteo           WA     DS
206-361-0866  Western Games & Grafx       .....              WA     V32
206-377-0907  Ground Zero                 Bremerton          WA     HST
206-391-1425  NW Images BBS               Issaquah           WA     V32
206-391-2330  Real Batchin' Board         Issaquah           WA     DS
206-391-2339  Futzer Avenue PCBoard       Issaquah           WA     HST4
206-392-5037  NW Images BBS               Issaquah           WA     V32
206-438-6716  Squad Room BBS              Olympia            WA     CS1
206-438-9714  OlyCom II BBS               ......             WA     CS1
206-451-1274  BECS Opus                   Bellevue           WA     DS
206-452-2012  Evergreen Micro Net         Port Angeles       WA     DS
206-456-6073  Dimension 23                Olympia            WA     HST
206-486-0160  Crystal Cavern              Bothell            WA     HST
206-486-2415  Mark's Point! BBS           Seattle            WA     DS
206-524-4811  Letters RBBS                Seattle            WA     HST
206-524-8037  Games BBS                   Seattle            WA     HST
206-526-7143  Westways                    Seattle            WA     DS
206-532-9220  Techline BBS                Aberdeen           WA     HST
206-565-9740  ArcticNet                   Steilacoom         WA     HST
206-566-1155  AmoCat BBS                  Tacoma             WA     HST
206-573-8503  Illuminatus!                Vancouver          WA     V32
206-578-1157  Darkstar System             Longview           WA     DS
206-582-3212  Group Medical BBS           Tacoma             WA     HST
206-582-5579  Awakening                   Tacoma             WA     HST
206-584-7895  The Cat's Paws              Tacoma             WA     HST
206-628-0427  The Resource                Bremerton          WA     DS
206-631-6185  The Files Depot             Kent               WA     DS
206-637-2398  Seattle Software Exchange   Bellevue           WA     DS
206-641-6767  Pacific Macintosh           Bellevue           WA     DS
206-653-4881  The Quest                   Marysville         WA     HST
206-675-4234  The Files Bank              Oak Harbor         WA     HST
206-682-3552  CIS Independant Studies     Seattle            WA     HST
206-694-5661  End Times BBS               Vancouver          WA     V32
206-694-6974  Utopias BBS                 ......             WA     CS1
206-698-1044  The Jimby BBS               Brownsville        WA     DS
206-725-6629  SEA/MAC                     Seattle            WA     HST
206-745-6340  Puget Sound TBBS            Edmonds            WA     DS
206-756-9689  North End Skyscraper        Tacoma             WA     HST
206-762-7294  Real Batchin' Board         Seattle            WA     DS
206-771-1730  French Connection           Edmonds            WA     V32
206-786-9248  Columbia Crest              ......             WA     CS1
206-822-4615  SeaEast PC Exchange         Kirkland           WA     DS
206-822-7498  Silicon Harvest             Kirkland           WA     DS2
206-822-8520  SeaMist SDS Archive         Kirkland           WA     HST
206-830-9319  My Electronic Dungeon       Bremerton          WA     DS
206-840-2357  The Eagles                  ......             WA     CS1
206-848-9232  Puget Sound Gateway         Tacoma             WA     HST
206-850-0809  The Wee Hoose               Kent               WA     HST4
206-852-4364  Northwest PC Link           Kent               WA     CS1
206-854-5646  Northwest PC Link           Kent               WA     DS
206-854-8714  The Wee Hoose 2             Kent               WA     DS2
206-859-6200  Memory Alpha                ......             WA     CS1
206-863-5877  The Racer's Edge            Sumner             WA     V32
206-878-1096  NorthWest ENTER-Tainment 1  Des Moines         WA     HST
206-883-2203  Horsefeathers               Kirkland           WA     HST
206-888-9249  Sno-Valley S/W Exchange     North Bend         WA     DS
206-922-1207  Pacific Computer Support    ......             WA     CS1
206-937-5800  Alki Express                Seattle            WA     HST
206-941-3124  The Boardwalk               Auburn             WA     HST
206-943-1513  Radio Point BBS             Olympia            WA     HST
207-363-6584  Montreal Express            York               ME     HST
207-363-8774  Ocean BBS                   York Beach         ME     HST
207-439-5466  The Grove BBS               Kittery            ME     HST
207-439-9367  SeaCoast ShareWare Centre   Kittery Pt         ME     HST
207-490-3624  The Hobbit Hole             Sanford            ME     HST
207-693-3810  Nix Pix East BBS            Naples             ME     HST
207-725-8533  I-95 Hub                    Topsham            ME     HST
207-727-3065  Addiction Bulletin Board    West Buxton        ME     CS1
207-727-5989  Addiction Bulletin Board    West Buxton        ME     HST4
207-773-5791  Wolf's Moon BBS             Portland           ME     HST
207-799-2374  The Lyons Den               So Portland        ME     V32
207-799-4088  Maine PC COnnection 3       Westbrook          ME     VH
207-833-6597  Dataease BBS                Harpswell          ME     VH
207-854-1015  Maine PC COnnection 2       Westbrook          ME     VH
207-854-3928  Maine PC COnnection 1       Westbrook          ME     HST
207-941-0805  The Lobster Buoy            Bangor             ME     DS2
207-942-7803  Bangor ROS                  Bangor             ME     HST
208-322-5227  Greater Boise BBS           Boise              ID     HST
208-356-8522  Lions Lair                  ......             ID     CS1
208-362-6068  The Idaho Root Cellar       Boise              ID     HST
208-368-0644  Medieval Times BBS          Boise              ID     CS1
208-939-6478  Watchworks                  ......             ID     CS1
209-225-6824  Dark Side of the Moon       Fresno             CA     DS
209-226-7162  Fresno Amiga eXchange       Fresno             CA     DS
209-239-5133  Hornets Nets                Manteca            CA     HST
209-297-8790  Stingray! II                Clovis             CA     HST
209-298-9461  Stingray!                   Clovis             CA     HST
209-299-3734  Take-Two                    Clovis             CA     HST
209-383-6417  The Merced Wildcat          ......             CA     CS1
209-439-6921  West-Net 1                  Fresno             CA     HST
209-477-9502  Software Silo               Stockton           CA     DS
209-551-2227  Flight Line of Dbase        Modesto            CA     HST
209-577-3081  MJC Info Net                Modesto            CA     VH
209-582-5177  Murr Barn BBS               Hanford            CA     DS
209-599-7435  TurboCity                   Ripon              CA     HST
209-661-5355  West Coast Pyro Board       Madera             CA     DS
209-667-0848  Logarithmatic Jello         ......             CA     CS1
209-732-6394  Midnight Express BBS        Visalia            CA     HST
209-823-0093  Bertha Board                Manteca            CA     HST
209-823-6133  FreeAccess OnLine           Manteca            CA     HST
209-825-3103  Cross Roads                 Manteca            CA     HST
209-826-8107  Wild Bee's BBS              ......             CA     CS1
209-924-8902  NCOA BBS                    ......             CA     CS1
212-274-1243  The Invention Factory       .....              NY     CS1
212-274-8390  The Invention Factory       .....              NY     HST
212-371-5462  Granny's BBS                New York           NY     HST
212-397-1576  The Beginner's BBS          New York           NY     HST
212-431-1194  The Invention Factory       .....              NY     2400
212-431-4508  The Invention Factory       .....              NY     VH
212-477-7072  The Braintree Bookshelf     New York           NY     DS
212-496-7946  DataCom Software            New York           NY     HST
212-496-8324  Aardvark BBS                New York           NY     DS2
212-579-2869  Fordham Jesuit BBS          Bronx              NY     DS
212-597-9083  Metro Area M.U.G. BBS       Bron               NY     HST
212-645-8673  Communication Specialties   New York           NY     HST
212-727-3213  AMAGINATION                 New York           NY     HST
212-766-2080  CompuServe                  New York           NY     V32
212-824-5512  Patch House                 Bronx              NY     HST
212-831-4920  Boom Boom BBS               New York           NY     DS
212-842-2033  The Tardis BBS              Bronx              NY     HST
212-876-5885  AmerIServe Public           New York           NY     2400
212-924-1138  The Red Phone Info Net      .....              NY     DS
212-964-8090  NYC Fire Dept.              New York           NY     HST
212-995-0059  Manhatten Transfer          New York           NY     HST
212-xxx-xxxx  AmerIServe Subscriber       New York           NY     CS1
212-xxx-xxxx  AmerIServe Subscriber       New York           NY     DS
213-223-9285  PhotoPro! BBS               Los Angeles        CA     DS
213-254-4133  Glassell Park               Los Angeles        CA     DS
213-387-5901  Little Angels PCB           Los Angeles        CA     DS2
213-484-0260  The DownTown BBS Main       Los Angeles        CA     2400
213-484-0287  The DownTown BBS V32        Los Angeles        CA     V32
213-484-0331  The DownTown BBS DS         Los Angeles        CA     DS2
213-484-0335  The DownTown BBS DS         Los Angeles        CA     DS2
213-624-3730  CompuServe                  Los Angeles        CA     V32
213-653-4077  12 Steps BBS                Los Angeles        CA     HST
213-654-7337  Charlatan's Cabin           Los Angeles        CA     DS
213-665-5332  Rediffusion                 Los Angeles        CA     HST
213-666-6937  Hollywood Christian         Los Angeles        CA     HST
213-732-6935  Digital Vision Systems      Los Angeles        CA     HST4
213-778-6450  Mortequai's Castle          Los Angeles        CA     V32B
213-779-3414  Collaboration BBS           Los Angeles        CA     V32
213-874-9484  Expiring Mind               W Hollywood        CA     HST
213-935-9600  Metropolis On-line          Los Angeles        CA     V32
213-962-1428  The Crow's Nest             Hollywood          CA     HST
214-221-8931  Mainframe Exchange          Coppell            TX     HST
214-222-2510  Amiga LANd                  Dallas             TX     HST
214-231-3841  Nibbles & Bytes             Dallas             TX     HST
214-234-4952  Rabbit and Snake's BBS      Richardson         TX     V32
214-238-1168  Master Control              Richardson         TX     HST
214-239-7607  The Chai Way                Dallas             TX     DS
214-252-5120  The Fantasi Corner          Irving             TX     HST
214-254-4775  Attitudes                   Irving             TX     HST
214-254-7664  Hambone's Opus Cop Shop     Irving             TX     TB
214-258-1832  The Interocitor             Dallas             TX     V32
214-288-1537  Amiga Scope                 Mesquite           TX     HST
214-307-8119  Live-Wire                   Dallas             TX     DS
214-315-0420  ACCESS                      Lewisville         TX     DS2
214-340-6393  Proximate Cause             Dallas             TX     HST
214-392-7312  OPUS Centerville            Richardson         TX     HST
214-394-1929  User-To-User PCBoard        Dallas             TX     HST
214-394-9324  Mac Exchange                Carrollton         TX     HST
214-412-9660  Optomeyes                   Rowlett            TX     HST
214-416-2162  The Diplomat                Carrollton         TX     HST
214-422-0632  Software Mechanics          Plano              TX     HST
214-422-2936  The Lunatic Fringe BBS      Plano              TX     DS
214-423-6992  The P.I.G.                  Plano              TX     DS
214-436-8753  Code 3 BBS                  Lewisville         TX     DS2
214-437-0914  Verbose Ink                 Richardson         TX     HST
214-437-2734  Palindrome ONLINE           Richardson         TX     HST
214-437-2906  Fool's Errand               Dallas             TX     HST
214-437-3247  UTD Student Connection      Richardson         TX     DS2
214-458-2620  The Inns of Court           Dallas             TX     DS
214-475-3610  The County Line             Carrollton         TX     HST
214-495-5980  Shock Treatment BBS         Garland            TX     DS
214-517-8443  Digital X-Connect           .....              TX     V32
214-530-5526  The Carrier Pigeon          Dallas             TX     HST
214-573-3649  The Blue Flame BBS          Dallas             TX     DS2
214-594-7911  Squirrel Talk               Irving             TX     HST
214-617-8554  The Magic Mansion Private   .....              TX     V32B
214-620-0192  HardWired                   Dallas             TX     DS
214-641-1136  The Chess Board             Grand Prairie      TX     HST
214-669-2960  Turbo Opus                  Dallas             TX     DS
214-680-3155  Omniverse                   Dallas             TX     ULT
214-720-9183  CompuServe                  Dallas             TX     V32
214-771-3226  NCC-1701                    Rockwall           TX     DS2
214-808-7801  The Magic Mansion Public    .....              TX     V32B
214-823-1579  JaxBBS                      Dallas             TX     HST
214-867-6630  Texas Twister               Plano              TX     HST
214-881-2628  MY 2nd BBS                  Plano              TX     DS
214-881-2627  MY BBS                      Plano              TX     DS
214-890-0262  Llama Bob's BBS             Dallas             TX     HST
214-988-0124  DeadHead's                  Grand Prairie      TX     DS2
214-988-1053  The Castle                  Grand Prairie      TX     HST
215-237-1281  The Seeker's Place BBS      Darby              PA     HST
215-244-4640  Horse Talk BBS              Bensalem           PA     HST
215-255-0610  Landenberg Wildcat!         Landenberg         PA     HST
215-264-1481  The Wishing Well BBS        Catasauqua         PA     HST
215-269-1660  BusiLink (tm) USA/RBBS-PC   Downingtown        PA     HST
215-269-9729  KEYSTONE Net Exchange       Downingtown        PA     HST
215-279-9799  Ophiophile Maximus          Blue Bell          PA     DS
215-287-7689  The 5th Dimension BBS       Chester Springs    PA     DS
215-322-9193  The Datamax                 Warminster         PA     DS
215-326-9774  Cruise'in City BBS          Pottstown          PA     DS2
215-331-2590  Wombat's Wagon              Philadelphia       PA     V32B
215-337-5815  GVP BBS                     King of Prussia    PA     HST
215-356-1630  HyperLinc East              Newtown Square     PA     HST4
215-364-3324  Satalink Info Systems       Huntingdon Valley  PA     ULT
215-364-3324  Satalink Info Systems       Huntingdon Valley  PA     DS2
215-368-5289  STINGRAY                    Lansdale           PA     HST
215-391-8951  Planet of Magrathea         Trexlertown        PA     HST
215-425-0713  Graphics Array              Philadelphia       PA     HST
215-434-6225  The Micro Cottage BBS       Whitehall          PA     DS
215-446-8923  The Bazaar at Deva          Upper Darby        PA     DS
215-469-6050  The Dying Planet            Elverson           PA     DS
215-493-5242  Bucks Telematics            Yardley            PA     DS
215-535-5816  Tower BBS                   Philadelphia       PA     HST
215-540-0329  ELLIOT                      SpringHouse        PA     HST
215-544-3757  Philly Gamers PCBoard       Springfield        PA     HST
215-551-1485  Tri-Star Amiga BBS          Philadelphia       PA     HST
215-563-3586  CompuServe                  Philadelphia       PA     V32
215-567-2417  Val'Dragonsongs             Philadelphia       PA     HST
215-583-9784  COPY-CAT BBS                Folcroft           PA     DS2
215-598-8122  DREAMLINE                   Wrightstown        PA     HST
215-623-6203  RunWay BBS                  Lansdowne          PA     DS
215-628-0878  The Big Board               Dresher            PA     HST
215-631-0685  System-2 BBS                Norristown         PA     V32
215-635-0664  First Sighting              Elkins Park        PA     HST
215-635-2341  StarLine                    Elkins Park        PA     V32
215-639-3242  SecTec                      Bensalem           PA     HST
215-641-0270  U.S.S. Intrepid             Spring House       PA     HST
215-659-0711  Galileo's Grove Opus        Willow Grove       PA     DS
215-675-7850  CyBoard Lobe                Hatboro            PA     HST
215-678-9854  The File Cabinet BBS        Wyomissing         PA     DS
215-691-0491  The Locker Room             Bethlehem          PA     HST
215-721-0363  The Foxes Den               Hatfield           PA     HST
215-721-4556  DREAMLINE II                Souderton          PA     HST
215-721-7039  DREAMLINE II                Souderton          PA     DS
215-725-9134  Walsh MicroSystems RBBS     Philadelphia       PA     HST
215-741-6077  Sophist. S'ware             Yardley            PA     HST
215-755-0166  The Batcave                 Philadelphia       PA     DS
215-770-0774  Keystone Info-Net           Allentown          PA     HST
215-848-5728  TRS-Link BBS                Philadelphia       PA     DS
215-868-0565  The Main Sequence           Bethlehem          PA     DS2
215-871-0394  Future Tech                 Philadelphia       PA     HST
215-884-6122  Rydal Board                 Rydal              PA     HST
215-896-9240  Kingswood TYPENET           Ardmore            PA     HST
215-942-3874  Threshold BBS               Honeybrook         PA     HST
215-944-6269  Schizophrenia               Fleetwood          PA     DS
215-948-7734  TFS Luckey Thirteen         Royersford         PA     HST
