From ed@das.llnl.gov (Edward Suranyi) Fri Jun 22 14:10:52 1990
Path: aramis.rutgers.edu!rutgers!uwm.edu!lll-winken!das!ed
From: ed@das.llnl.gov (Edward Suranyi)
Newsgroups: rec.music.misc
Subject: KITS list: Top 300 Mod. Rock songs
Summary: Here it is.
Message-ID: <62527@lll-winken.LLNL.GOV>
Date: 22 Jun 90 18:10:52 GMT
Sender: usenet@lll-winken.LLNL.GOV
Reply-To: ed@das.UUCP (Edward Suranyi)
Organization: Dept. of Applied Science, UC Davis at LLNL
Lines: 308

Well, not a single person told me not to post this, and I got
lots of requests *to* post it, so here it is:

Here is the KITS Memorial Day 1990 Countdown, as voted by the listeners.
(Note that #300 is missing because of an error in the printing):

1. THE SMITHS                   HOW SOON IS NOW?
202. 10,000 MANIACS             LIKE THE WEATHER
203. SOFT CELL                  IT'S A MUGS GAME
204. MIDNIGHT OIL               BEDS ARE BURNING
205. SIMPLE MINDS               NEW GOLD DREAM
206. TALKING HEADS              THIS MUST BE THE PLACE
207. HITHOUSE                   MOVE YOUR FEET
208. THE SMITHS                 ASK
209. SHONA LAING                SOVIET SNOW
210. R.E.M.                     STAND
211. OMD                        SO IN LOVE
212. OINGO BOINGO               SKIN
213. KING                       LOVE & PRIDE
214. NINA HAGEN                 NEW YORK NEW YORK
215. NEW ORDER                  SUBCULTURE
216. MORRISSEY                  SUEDEHEAD
217. THE DAMNED                 ALONE AGAIN OR
218. DEVO                       WHIP IT
219. SIOUXSIE & THE BANSHEES    PEEK-A-BOO
220. MADNESS                    OUR HOUSE
221. THE POGUES                 YEAH YEAH YEAH YEAH YEAH
222. MOMUS                      HAIRSTYLE OF THE DEVIL
223. JOE JACKSON                IS SHE REALLY GOING OUT WITH HIM?
224. KILLING JOKE               LOVE LIKE BLOOD
225. BOW WOW WOW                DO YOU WANNA HOLD ME?
226. NINE INCH NAILS            DOWN IN IT
227. 10,000 MANIACS             WHAT'S THE MATTER HERE?
228. THE POLICE                 ROXANNE
229. GANG OF FOUR               MAN IN A UNIFORM
230. FLESH FOR LULU             I GO CRAZY
231. FINE YOUNG CANNIBALS       SUSPICIOUS MINDS
232. THE WATERBOYS              FISHERMAN'S BLUES
233. ERASURE                    SOMETIMES
234. ECHO & THE BUNNYMEN        THE KILLING MOON
235. KATE BUSH                  RUNNING UP THAT HILL
236. DRAMARAMA                  LAST CIGARETTE
237. SOFT CELL                  SEX DWARF
238. DEPECHE MODE               DANGEROUS
239. BURNING SENSATIONS         BELLY OF THE WHALE
240. NEW ORDER                  CEREMONY
241. EURYTHMICS                 YOU HAVE PUT A CHILL IN MY . . .
242. JOY DIVISION               ATMOSPHERE
243. COLOUR SCREAM              ACROSS THE SKY
244. CHRIS ISAAK                YOU OWE ME SOME KIND OF LOVE
245. CELEBRATE THE NUN          WILL YOU BE THERE?
246. THE STABILIZERS            ONE SIMPLE THING
247. BRONSKI BEAT               SMALL TOWN BOY
248. DAF                        SEX
249. BLACK                      WONDERFUL LIFE
250. BERLIN                     THE METRO
251. THE SEX PISTOLS            MY WAY
252. BAUHAUS                    BELA LUGOSI'S DEAD
253. ADAM ANT                   ROOM AT THE TOP
254. ERASURE                    DRAMA
255. U2                         THE SWEETEST THING
256. THE SPECIALS               A MESSAGE TO YOU RUDY
257. THE STONE ROSES            ELEPHANT STONE
258. EURYTHMICS                 LOVE IS A STRANGER
259. EDDIE GRANT                GIMME HOPE JOANNA
260. BIG COUNTRY                IN A BIG COUNTRY
261. THE CURE                   THE WALK
262. YAZ                        DON'T GO
263. YELLO                      I LOVE YOU
264. XTC                        SENSES WORKING OVERTIME
265. VITAMIN Z                  BURNING FLAME
266. U2                         TWO HEARTS BEAT AS ONE
267. THE B-52'S                 DANCE THIS MESS AROUND
268. FIGURES ON A BEACH         ACCIDENTALLY 4TH STREET
269. TOM TOM CLUB               GENIUS OF LOVE
270. THE TOY DOLLS              NELLIE THE ELEPHANT
271. THE THE                    THIS IS THE DAY
272. THE STRANGLERS             SKIN DEEP
273. THE SMITHS                 HEAVEN KNOWS I'M MISERABLE
274. DEPECHE MODE               SHAKE THE DISEASE
275. THE WILD SWANS             BIBLE DREAMS
276. THE PAYOLAS                EYES OF A STRANGER
277. THE FIXX                   RED SKIES
278. THE CULT                   SHE SELLS SANCTUARY
279. THE CHURCH                 UNDER THE MILKY WAY
280. BILLY IDOL                 EYES WITHOUT A FACE
281. THE ALARM                  THE STAND
282. TEARS FOR FEARS            SHOUT
283. KATE BUSH                  LOVE AND ANGER
284. TALK TALK                  TALK TALK
285. SQUEEZE                    PULLING MUSSELS FROM A SHELL
286. SIOUXSIE & THE BANSHEES    DEAR PRUDENCE
287. SINEAD O'CONNOR/THE EDGE   HEROINE
288. ROMEO VOID                 NEVER SAY NEVER
289. REFLEX                     THE POLITICS OF DANCING
290. DEVO                       BABY DOLL
291. PSYCHEDELIC FURS           LOVE MY WAY
292. PiL                        SEATTLE
293. PETER GABRIEL              GAMES WITHOUT FRONTIERS
294. OMD                        IF YOU LEAVE
295. NIK KERSHAW                WOULDN'T IT BE GOOD
296. NAKED EYES                 ALWAYS SOMETHING THERE TO REMIND ME
297. R.E.M.                     SOUTH CENTRAL RAIN
298. MIDNIGHT OIL               BLUE SKY MINE
299. MICHAEL PENN               NO MYTH

Ed Suranyi
ed@das.llnl.gov

I finally received this countdown list in today's mail.  These are
the top 105 albums of all time, as voted on by the listeners.

KITS San Francisco Labor Day 1990 Album Countdown  
(Asterisk [*] indicates tie.)

1. NEW ORDER	 	SUBSTANCE
2. THE SMITHS		THE QUEEN IS DEAD
3. DEPECHE MODE		VIOLATOR
4. U2			THE JOSHUA TREE
5. THE CURE		DISINTEGRATION
6. THE CLASH		LONDON CALLING
7. YAZ			UPSTAIRS AT ERIC'S
8. SEX PISTOLS		NEVER MIND THE BOLLOCKS
9. DEPECHE MODE		BLACK CELEBRATION
10. THE CURE		STANDING ON A BEACH -- THE SINGLES
11. ROXY MUSIC		AVALON
12. U2			WAR
13. THE B-52'S		THE B-52'S
14. ERASURE		THE INNOCENTS
15. DURAN DURAN		RIO
16. THE SMITHS		LOUDER THAN BOMBS
17. DEPECHE MODE	MUSIC FOR THE MASSES
18. PETER GABRIEL	SO
19. THE CURE		KISS ME KISS ME KISS ME
*20. SINEAD O'CONNOR	THE LION & THE COBRA
*20. THE ENGLISH BEAT	WHAT IS BEAT?
21. THE B-52'S		COSMIC THING
22. R.E.M. 		GREEN
23. VIOLENT FEMMES	VIOLENT FEMMES
24. NEW ORDER		TECHNIQUE
25. ERASURE		WONDERLAND
26. OINGO BOINGO	DEAD MAN'S PARTY
27. ELVIS COSTELLO	MY AIM IS TRUE
28. TEARS FOR FEARS	SONGS FROM THE BIG CHAIR
29. U2			THE UNFORGETTABLE FIRE
30. THE CLASH		COMBAT ROCK
31. TALKING HEADS	STOP MAKING SENSE
32. UB40		LABOUR OF LOVE
33. INXS		THE SWING
34. NEW ORDER		LOW LIFE
35. R.E.M.		LIFES RICH PAGEANT
36. THE CURE		THE HEAD ON THE DOOR
37. THE STONE ROSES	THE STONE ROSES
*38. ALPHAVILLE		FOREVER YOUNG
*38. THE PRETENDERS	THE PRETENDERS
39. DAVID BOWIE		THE RISE & FALL OF ZIGGY STARDUST
40. THE SMITHS		HATFUL OF HOLLOW
41. DEPECHE MODE	SOME GREAT REWARD
42. THE B-52'S 		WILD PLANET
43. LIGHTNING SEEDS	CLOUDCUCKOOLAND
44. DEVO		Q: ARE WE NOT MEN?  A: WE ARE DEVO!
45. MIDNIGHT OIL	BLUE SKY MINING
46. BLONDIE		PARALLEL LINES
47. THE CURE		BOYS DON'T CRY
48. THEY MIGHT BE 
       GIANTS		FLOOD
49. U2			RATTLE & HUM
50. TEARS FOR FEARS	THE HURTING
51. R.E.M.		DOCUMENT
52. BILLY IDOL		REBEL YELL
53. THE POLICE		SYNCHRONICITY
54. MORISSEY		VIVA HATE
55. THE THE		SOUL MINING
56. ERASURE		THE CIRCUS
*57. DAVID BOWIE	LET'S DANCE
*57. INXS		KICK
58. BOOK OF LOVE	BOOK OF LOVE
59. DEPECHE MODE	A BROKEN FRAME
60. THE ENGLISH BEAT	SPECIAL BEAT SERVICE
61. HOWARD JONES	HUMAN'S LIB
62. JANE'S ADDICTION	NOTHING'S SHOCKING
63. CROWDED HOUSE	CROWDED HOUSE
64. XYMOX		TWIST OF SHADOWS
65. MIDNIGHT OIL	DIESEL AND DUST
66. O.M.D.		CRUSH
67. TALKING HEADS	SPEAKING IN TONGUES
68. THE SMITHS		STRANGEWAYS HERE WE COME
69. PET SHOP BOYS	PLEASE
70. SIOUXSIE & THE
       BANSHEES		PEEPSHOW
71. U2			BOY
*72. ERASURE		WILD
*72. RED HOT CHILI 
       PEPPERS		MOTHER'S MILK
73. THOMAS DOLBY	THE GOLDEN AGE OF WIRELESS
74. GENERAL PUBLIC	ALL THE RAGE
75. SINEAD O'CONNOR	I DO NOT WANT WHAT I HAVEN'T GOT
76. ECHO & THE 
       BUNNYMEN		SONGS TO LEARN AND SING
77. NINE INCH NAILS	PRETTY HATE MACHINE
78. THE RAMONES		MANIA
79. FINE YOUNG
       CANNIBALS	THE RAW AND THE COOKED
80. PSYCHEDELIC FURS	MIRROR MOVES
81. THE SUNDAYS		READING, WRITING & ARITHMETIC
82. FRANKIE GOES TO
       HOLLYWOOD	WELCOME TO THE PLEASURE DOME
83. THE POLICE		ZENYATTA MONDATA
84. RED FLAG		NAIVE ART
85. ELVIS COSTELLO	THIS YEAR'S MODEL
86. SISTERS OF MERCY	FLOODLAND
87. BERLIN		PLEASURE VICTIM
88. INXS		SHABOOH SHOOBAH
89. THE GO-GO'S		BEAUTY AND THE BEAT
90. JOE JACKSON		LOOK SHARP!
91. 10,000 MANIACS	IN MY TRIBE
*92. THE REPLACEMENTS	TIM
*92. ABC		THE LEXICON OF LOVE
93. THE ALARM		DECLARATION
94. JOY DIVISION	SUBSTANCE 1977-1980
95. EURYTHMICS		SWEET DREAMS
96. PETER MURPHY	LOVE HYSTERIA
97. SQUEEZE		SINGLES -- 45'S AND UNDER
98. SIMPLE MINDS	SPARKLE IN THE RAIN
99. KATE BUSH		THE SENSUAL WORLD
100. THE CULT		LOVE
101. THE HUMAN LEAGUE	DARE
102. WILD SWANS		BRINGING HOME THE ASHES
103. ADAM AND THE ANTS	KINGS OF THE WILD FRONTIER
104. BOB MARLEY		LEGEND
105. LOVE & ROCKETS	EARTH SUN MOON

------------------------------------------------------------

Ed Suranyi
ed@das.llnl.gov
