:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:
:   Earth's Dreamlands    :  Info on: RPG's,  :(313)558-5024 : area code    :
:RPGNet World HQ & Archive: Drugs, Industrial :(313)558-5517 : changes to   :
:  1000's of text files   :  music, Fiction,  :InterNet      : (810) after  :
:   No Elite / No porn    :   HomeBrew Beer.  :rpgnet@aol.com: Dec 1,1993   :
:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:

List of spells for AD&D 2nd Edition.  
This list is organized alphabetically by level.


Spell                            School(s)             Where
Spectral Ears                    Necro, Alt            Dr167
Spectral Eyes                    Necro, Alt            Dr167
Spectral Voice                   Necro, Alt            Dr167
Spider Climb                     Alt                   PHB
Spook                            Ill/Phant             PHB
Taunt                            Ench                  PHB
Tenser's Eye of the Tiger        Alt                   GA
Tenser's Floating Disc           Evoc                  PHB
Tenser's Steady Aim              Alt
Unseen Servant                   Conj/Summ             PHB
Ventriloquism                    Ill/Phant             PHB
Wall of Fog                      Evoc                  PHB
Wizard Mark                      Alt                   PHB

2nd level spells
Agannazar's Scorcher             Evoc                  FRA
Alter Self                       Alt                   PHB
Bigby's Dextrous Digits          Evoc                  GA
Bigby's Silencing Hand           Evoc, Ench            GA
Bind                             Ench                  PHB
Bladethirst                      Alt                   FRA
Blastbones                       Evoc, Necro           Dr188
Blindness                        Ill/Phant             PHB
Bloodglass                       Div, Necro            Dr196
Blur                             Ill/Phant             PHB
Chaos Shield*                    Abj                   ToM
Choke                            Necro, Conj/Summ      CWH
Cloak From Undead                Alt                   FRA
Cloak Undead                     Necro                 FRA
Continual Light (R)              Alt                   PHB
Darkness, 15' Radius             Alt                   PHB
Deafness                         Ill/Phant             PHB
Death Recall                     Necro, Div            CWH
Decastave                        Evoc                  FRA
Deeppockets                      Alt, Ench             PHB
Detect Evil (R)                  Div                   PHB
Detect Invisibility              Div                   PHB
Detect Life                      Div                   CWH
Drawmij's Adventurer's Luck      Alt                   GA
Drawmij's Breath of Life         Alt                   GA
Drawmij's Scent Mask             Ill/Phant             GA
Drawmij's Swift Mount            Alt                   GA
ESP                              Div                   PHB
Filter                           Abj                   CWH
Flaming Sphere                   Evoc                  PHB
Flying Fist                      Evoc                  FRA
Fog Cloud                        Alt                   PHB
Fools' Gold                      Alt, Ill              PHB
Forget                           Ench/Charm            PHB
Ghost Pipes                      Alt                   FRA
Ghoul Touch                      Necro                 CWH
Glitterdust                      Conj/Summ             PHB
Hornung's Baneful Deflector*     Evoc                  ToM
Hypnotic Pattern                 Ill/Phant             PHB
Ice Knife                        Evoc                  CWH
Improved Phantasmal Force        Ill/Phant             PHB
Insatiable Thirst                Ench/Charm            ToM
Invisibility                     Ill/Phant             PHB
Irritation                       Alt                   PHB
Knock (R)                        Alt                   PHB
Know Alignment (R)               Div                   PHB
Leomund's Trap                   Ill/Phant             PHB
Levitate                         Alt                   PHB
Locate Object (R)                Div                   PHB
Magic Mouth                      Alt                   PHB
Maximillan's Earthen Grasp       Alt                   ToM
Mirror Image                     Ill/Phant             PHB
Misdirection                     Ill/Phant             PHB
Mord.'s Encompassing Vision      Alt                   GA
Nahal's Nonsensical Nullifier*   Abj                   ToM 
Nimode's Major Delousing         Necro                 Dr163
Nimode's Unseen Butler           Conj/Summ             Dr163
Nystul's Blackmote               Evoc                  GA
Nystul's Blazing Beam            Evoc                  GA
Nystul's Crystal Dagger          Evoc, Conj            GA
Otiluke's Boiling Oil Bath       Evoc, Conj            GA
Otto's Soothing Vibration        Ench/Charm            GA
Otto's Tones of Forgetfulness    Ench/Charm            GA
Past Life                        Div                   ToM
Protection From Cantrips         Abj                   PHB
Protection From Paralysis        Abj                   ToM
Pyrotechnics                     Alt                   PHB
Quimby's Enchanting Gourmet      Conj/Summ             FRA
Rary's Aptitude Appropriater     Div, Alt              GA
Ray of Enfeeblement              Ench/Charm            PHB
Ride the Wind                    Alt                   ToM
Rope Trick                       Alt                   PHB
Scare                            Ench/Charm            PHB
See Through Other Eyes           Div                   Du27
Sense Shifting                   Alt                   ToM
Shark Bolt                       Invoc/Evoc            Dr187
Shatter                          Alt                   PHB
Skeletal Hands                   Necro, Evoc           Dr167
Snilloc's Snowball Swarm         Evoc                  FRA
Spectral Hand                    Necro                 PHB
Stinking Cloud                   Evoc                  PHB
Stone Sleep                      Ench/Charm            Dr187
Strength                         Alt                   PHB
Summon Swarm                     Conj/Summ             PHB
Tasha's U. H. Laughter           Ench/Charm            PHB
Tenser's Brawl                   Alt                   GA
Tenser's Hunting Hawk            Alt                   GA
Undead Mount                     Necro                 FRA
Vocalize                         Alt                   CWH/FRA
Web                              Evoc                  PHB
Whispering Wind                  Alt, Phant            PHB
Wizard Lock                      Alt                   PHB

3rd Level Spells
Alacrity                         Alt                   ToM
Alahandra's Questing Call        Div                   Dr163
Alamir's Fundamental Breakdown   Div                   ToM
Alternate Reality*               Alt                   ToM
Augmentation I                   Invoc/Evoc            ToM
Babble                           Alt                   PHB
Bigby's Pugnacious Pugilist      Evoc                  GA
Blacklight                       Alt                   FRA
Blink                            Alt                   PHB
Bone Club                        Ench, Necro           CWH
Bone Knit                        Necro                 Dr167
Clairaudience                    Div                   PHB
Clairvoyance                     Div                   PHB
Darksense                        Alt                   Dr166
Delude                           Alt                   PHB
Delay Death                      Ench, Necro           CWH
Dire Charm                       Ench/Charm            FRA
Dispel Magic                     Abj                   PHB
Dispel Silence                   Abj, Alt              FRA
Double Spell                     Necro                 Dr188
Drawmij's Marvelous Shield       Evoc                  GA
Drawmij's Iron Sack              Alt                   GA
Explosive Runes                  Alt                   PHB
Far Reaching I                   Alt                   ToM
Feign Death                      Necro                 PHB
Fireball                         Evoc                  PHB
Fireflow                         Alt                   ToM
Flame Arrow                      Conj/Summ             PHB
Fly                              Alt                   PHB
Fool's Speech*                   Alt                   ToM
Ghastly Hands                    Necro                 Dr167
Ghost Armor                      Conj                  FRA
Gust of Wind                     Alt                   PHB
Haste                            Alt                   PHB
Heartcall                        Div                   Dr163
Hold Person                      Ench/Charm            PHB
Hold Undead                      Necro                 PHB
Hold Vapor                       Abj                   FRA
Hovering Skull                   Necro                 CWH
Icelance                         Alt                   FRA
Illusionary Script               Ill/Phant             PHB
Infravision                      Alt                   PHB
Invisibility, 10' Radius         Ill/Phant             PHB
Invisible Mail                   Evoc, Abj             CWH
Iron Mind                        Abj                   CWH
Isolde's Answer                  Div                   Dr163
Item                             Alt                   PHB
Laeral's Dancing Dweomer         Ill/Phant             FRA
Leomund's Tiny Hut               Alt                   PHB
Lightning Bolt                   Evoc                  PHB
Lorloveim's Creeping Shadow      Ill                   ToM
Maximillan's Stony Grasp         Alt                   ToM
Melf's Minute Meteors            Evoc, Alt             PHB
Minor Malison                    Ench/Charm            ToM
Monster Summoning I              Conj/Summ             PHB
Mord.'s Defense vs Lycanthropes  Abj                   GA
M's Def vs Nonmagic Rept & Amph  Abj                   GA
M's Prot vs Insects & Arachnids  Abj                   GA
Mummy Touch                      Necro                 FRA
Nchaser's Glowing Globe          Alt                   FRA
Nightscar                        Ill/Phant             FRA
Non-Detection                    Abj                   PHB
Nystul's Crystal Dirk            Evoc, Conj            GA
Nystul's Exped. Fire Extinguish. Evoc                  GA
Nystul's Golden Revelation       Alt                   GA
Nystul's Radiant Baton           Evoc                  GA
Otiluke's Acid Cloud             Evoc                  GA
Otiluke's Force Umbrella         Evoc                  GA
Otto's Crystal Rhythms           Ench/Charm            GA
Otto's Sure-Footed Shuffle       Alt, Ench/Charm       GA
Pain Touch                       Div                   CWH
Paralyze                         Necro                 FRA
Phantom Steed                    Conj, Phant           PHB
Proof from Teleportation         Abj                   FRA
Protection - Evil, 10'radius (R) Abj                   PHB
Protection From Normal Missiles  Abj                   PHB
Revenance                        Necro                 FRA
Searing Serpent                  Conj/Summ             Dr187
Secret Page                      Alt                   PHB
Sepia Snake Sigil                Conj/Summ             PHB
Skull Watch                      Necro                 FRA
Skulltrap                        Necro, Evoc           Dr167
Slow                             Alt                   PHB
Snapping Teeth                   Conj, Alt             CWH
Spectral Force                   Ill/Phant             PHB
Spirit Armor                     Necro                 ToM
Squaring the Circle              Alt                   ToM
Steam Blast                      Evoc                  Dr187
Suggestion                       Ench/Charm            PHB
Tenser's Deadly Strike           Alt                   GA
Tenser's Eye of the Eagle        Alt                   GA
Tongues (R)                      Alt                   PHB
Undead Control                   Necro                 Dr162
Vampiric Touch                   Necro                 PHB
Ward Against Undead              Abj                   FRA
Water Breathing (R)              Alt                   PHB
Watery Double                    Conj/Summ, Ench       ToM
Waves of Weariness               Ench/Charm            FRA
Wind Wall                        Alt                   PHB
Wizard Sight                     Div                   ToM
Whip of Pain                     Evoc                  Dr188
Wraithform                       Alt, Ill              PHB

4th Level Spells
Air to Flesh (R)                 Necro                 Du27
Beltyn's Burning Blood           Necro                 FRA
Bigby's Battering Gauntlet       Evoc                  GA
Bigby's Construction Crew        Evoc                  GA
Bigby's Force Sculpture          Evoc                  GA
Brainkill                        Necro                 Du27
Caligarde's Claw                 Conj/Summ             FRA
Charm Monster                    Ench/Charm            PHB
Confusion                        Ench/Charm            PHB
Contagion                        Necro                 PHB
Detect Scrying                   Div                   PHB
Dig                              Evoc                  PHB
Dilation I                       Alt                   ToM
Dimension Door                   Alt                   PHB
Divination Enhancement           Evoc                  ToM
Drawmij's Handy Timepiece        Conj/Summ             GA
Drawmij's Instant Exit           Alt, Conj             GA
D.'s Prot. from Non-Magical Gas  Abj                   GA
Drawmij's Tool Box               Conj/Summ             GA
Duplicate                        Conj                  CWH
Emotion                          Ench/Charm            PHB
Enchanted Weapon                 Ench                  PHB
Encrypt                          Ill/Phant             FRA
Enervation                       Necro                 PHB
Evard's Black Tentacles          Conj/Summ             PHB
Extension I                      Alt                   PHB
Far Reaching II                  Alt                   ToM
Fear                             Ill/Phant             PHB
Fire Aura                        Abj                   CWH
Fire Charm                       Ench/Charm            PHB
Fire Gate                        Alt                   FRA
Fire Shield                      Evoc, Alt             PHB
Fire Trap                        Abj, Evoc             PHB
Fistandantilus's Firequench      Abj, Alt              Dr196
Fumble                           Ench/Charm            PHB
Greater Malison                  Ench/Charm            ToM
Hallucinatory Terrain            Ill/Phant             PHB
Halo of Eyes                     Abj, Conj             CWH
Ice Storm                        Evoc                  PHB
Illusionary Wall                 Ill/Phant             PHB
Illykur's Mantle                 Abj                   FRA
Improved Invisibility            Ill/Phant             PHB
Leomund's Secure Shelter         Alt, Ench             PHB
Locate Creature                  Div                   ToM
Magic Mirror                     Ench, Div             PHB
Mask of Death                    Necro                 ToM
Massmorph                        Alt                   PHB
Minor Creation                   Ill/Phant             PHB
Minor Globe of Invulnerability   Abj                   PHB
Minor Spell Turning              Abj                   ToM
Missile Mastery                  Alt                   FRA
Monster Summoning II             Conj/Summ             PHB
Mordenkainen's Celerity          Alt, Invoc            ToM
Mordenkainen's Electric Arc      Evoc                  GA
M.'s Faith. Phant Shield-Maidens Summ                  GA
Mord.'s Protection from Slime    Abj                   GA
Nystul's Blacklight Burst        Evoc                  GA
Nystul's Grue Conjuration        Conj/Summ             GA
Nystul's Lightburst              Evoc                  GA
Otiluke's Dispelling Screen      Evoc, Abj             CWH
Otiluke's Resilient Sphere       Alt, Evoc             PHB
Otiluke's Steaming Sphere        Evoc                  GA
Otto's Drums of Despair          Ench/Charm            GA
Otto's Silver Tongue             Ench/Charm            GA
Otto's Tin Soldiers              Alt                   GA
Otto's Tonal Attack              Ench/Charm            GA
Otto's Warding Tones             Ench/Charm            GA
Phantasmal Killer                Ill/Phant             PHB
Phase Trap                       Alt                   FRA
Plague                           Ill/Phant             FRA
Plant Growth                     Alt                   PHB
Polymorph Other                  Alt                   PHB
Polymorph Self                   Alt                   PHB
Rainbow Pattern                  Alt, Ill/Phant        PHB
Rary's Memory Alt                Ench/Charm            GA
Rary's Mind Scan                 Div                   GA
Rary's Mnemonic Enhancer         Alt                   PHB
Rary's Spell Enhancer            Alt                   GA
Remove Curse (R)                 Abj                   PHB
Shout                            Evoc                  PHB  
Sinuous Horrors                  Abj                   Dr162
Solid Fog                        Alt                   PHB
Spectral Wings                   Evoc                  FRA
Spendelard's Chaser              Necro                 FRA
Stoneskin                        Alt                   PHB
Summon Lycanthrope               Conj/Summ             ToM
Tenser's Flaming Blade           Alt                   GA
Tenser's Giant Strength          Alt                   GA
Tenser's Master of Arms          Alt                   GA
Tenser's Running Warrior         Alt                   GA
Tenser's Staff of Smiting        Alt                   GA
There/Not There*                 Evoc                  ToM
Thunder Staff                    Invoc/Evoc            ToM
Thunderlance                     Evoc                  FRA
Turn Pebble to Boulder (R)       Alt                   ToM
Unluck*                          Evoc                  ToM
Vacancy                          Alt, Ill/Phant        PHB
Vampire Mist                     Evoc                  Dr162
Wall of Fire                     Evoc                  PHB
Wall of Ice                      Evoc                  PHB
Wall of Sand                     Evoc                  FRA
Watchware                        Evoc                  FRA
Wind Breath                      Evoc                  CWH
Wizard Eye                       Alt                   PHB

5th Level Spells
Advanced Illusion                Ill/Phant             PHB
Airy Water                       Alt                   PHB
Animal Growth (R)                Alt                   PHB
Animate Dead                     Necro                 PHB
Avoidance (R)                    Abj, Alt              PHB
Bigby's Fantastic Fencers        Evoc                  GA
Bigby's Interposing Hand         Evoc                  PHB
Bigby's Superior Force Sculpture Evoc                  GA
Bigby's Strangling Grip          Evoc                  GA
Bowgentle's Fleeting Journey     Alt                   FRA
Chaos                            Ench/Charm            PHB
Cloudkill                        Evoc                  PHB
Cone of Cold                     Evoc                  PHB
Conjure Elemental                Conj/Summ             PHB
Contact Other Plane              Div                   PHB
Crimson Scourge                  Necro                 Dr162
Demi-Shadow Monsters             Ill/Phant             PHB
Disguise Undead                  Ill/Phant, Necro      FRA
Dismissal                        Abj                   PHB
Distance Distortion              Alt                   PHB
Domination                       Ench/Charm            PHB
Drawmij's Flying Feat            Alt/Ench              GA
Dream (R)                        Invoc, Ill/Phant      PHB
Extension II                     Alt                   PHB
Fabricate                        Ench, Alt             PHB
False Vision                     Div                   PHB
Far Reaching III                 Alt                   ToM
Feeblemind                       Ench/Charm            PHB
Fell Blade                       Abj, Evoc, Necro      Dr164
Force Shapechange                Necro                 CWH
Hedge Enchantment                Ench, Invoc           Dr163
Hold Monster                     Ench/Charm            PHB
Improved Skull Watch             Necro                 FRA
Invulnerability - Normal Weapons Abj                   CWH
Ironguard                        Abj, Alt              FRA
Khazid's Procurement             Div, Summ             ToM
Know Value                       Div                   CWH
Leomund's Lamentable Belaborment Ench, Evoc            PHB
Leomund's Secret Chest           Alt, Conj/Summ        PHB
Lower Resistance                 Abj, Alt              ToM
Magic Jar                        Necro                 PHB
Magic Staff                      Ench/Charm            ToM
Major Creation                   Ill/Phant             PHB
Manor's Mindsight                Alt                   Dr166
Manshoon's Xorn Talons           Conj/Summ             Dr188
Melisander's Harp                Alt                   Dr164
Mind Fog                         Ench/Charm            ToM
Monster Summoning III            Conj/Summ             PHB
Mordenkainen's Faithful Hound    Conj/Summ             PHB
M.'s Faithful Phantom Defenders  Summ                  GA
Mordenkainen's Private Sanctum   Alt, Abj              CWH/GA
Mummy Rot                        Necro                 CWH
Nulathoe's Ninemen               Necro                 FRA
Nystul's Enveloping Darkness     Evoc, Alt             GA
Nystul's Radiant Arch            Alt                   GA
Otiluke's Dispelling Screen      Evoc, Abj             GA
Otiluke's Electrical Screen      Evoc                  GA
Otiluke's Polar Screen           Evoc                  GA
Otiluke's Radiant Screen         Evoc                  GA
Otto's Gong of Isolation         Ench/Alt              GA
Passwall                         Alt                   PHB
Presper's Moonbow                Evoc                  FRA
Rary's Mind Shield               Alt                   GA
Rary's Replay of the Past        Div                   GA
Rary's Superior Spell Enhancer   Alt                   GA
Rary's Telepathic Bond           Div, Alt              CWH/GA
Safeguarding                     Abj                   ToM
Secure                           Alt                   FRA
Seeming                          Ill/Phant             PHB
Sending                          Evoc                  PHB
Shadow Door                      Ill/Phant             PHB
Shadow Magic                     Ill/Phant             PHB
Shroud of Flame                  Evoc                  FRA
Snilloc's Major Missile          Evoc                  FRA
Stone Shape                      Invoc/Evoc            Dr187
Stone Shape                      Alt                   PHB
Stony Hands                      Conj/Summ             Dr188
Summon Shadow                    Conj/Summ, Necro      PHB
Telekinesis                      Alt                   PHB
Teleport                         Alt                   PHB
Tenser's Primal Fury             Ench/Alt              GA
Thultaun's Thrust                Abj, Evoc             Dr196
Throbbing Bones                  Necro                 CWH
Transmute Rock to Mud (R)        Alt                   PHB
Undead Familiar                  Necro                 HHQ2
Von Gasik's Refusal              Abj                   ToM
Vortex*                          Evoc                  ToM
Wall of Bones                    Conj, Necro           CWH
Wall of Force                    Evoc                  PHB
Wall of Iron                     Evoc                  PHB
Wall of Stone                    Evoc                  PHB
Waveform*                        Alt                   ToM

6th Level Spells
Anti-Magic Shell                 Abj                   PHB
Augmentation II                  Evoc                  ToM
Bigby's Besieging Bolt           Evoc                  GA
Bigby's Forceful Hand            Evoc                  PHB
Blackmantle                      Necro, Ench           CWH
Blade of Doom                    Evoc                  FRA
Bloodstone's Spectral Steed      Necro                 ToM
Chain Lightning                  Evoc                  PHB
Claws of the Umber Hulk          Alt                   ToM
Conjure Animals                  Conj/Summ             PHB
Contingency                      Evoc                  PHB
Control Weather                  Alt                   PHB
Dead Man's Eyes                  Necro                 CWH
Death Fog                        Alt, Evoc             PHB
Death Spell                      Necro                 PHB
Demi-Shadow Magic                Ill/Phant             PHB
Dilation II                      Alt                   ToM
Disintegrate                     Alt                   PHB
Dragon Scales                    Abj                   CWH
Drawmij's Beneficent Polymorph   Alt                   GA
Drawmij's Merciful Metamorphosis Alt                   GA
Enchant an Item                  Ench, Invoc           PHB
Ensnarement                      Conj/Summ             PHB
Extension III                    Alt                   PHB
Eyebite                          Ench/Charm, Ill/Phant PHB
Flesh to Stone                   Alt                   PHB
Forest's Fiery Constrictor       Conj/Summ             ToM
Geas                             Ench/Charm            PHB
Glassee                          Alt                   PHB
Globe of Invulnerability         Abj                   PHB
Grimwald's Greymantle            Necro                 FRA
Guards and Wards                 Evoc, Alt, Ench/Charm PHB
Imbue Undead with Spell Ability  Necro                 FRA
Invisible Stalker                Conj/Summ             PHB
Invulnerability -Magical Weapons Abj                   CWH
Legend Lore                      Div                   PHB
Lich Touch                       Necro                 FRA
Lorlov.'s Shadowy Transformation Ill                   ToM
Lower Water                      Alt                   PHB
Mass Suggestion                  Ench/Charm            PHB
Mirage Arcana                    Ill/Phant, Alt        PHB
Mislead                          Ill/Phant             PHB
Monster Summoning IV             Conj/Summ             PHB
M.'s Faithful Phantom Guardian   Summ                  GA
Mordenkainen's Lucubration       Alt                   PHB
Move Earth                       Alt                   PHB
Otiluke's Diamond Screen         Evoc                  GA
Otiluke's Excruciating Screen    Evoc                  GA
Otiluke's Freezing Sphere        Alt, Evoc             PHB
Otiluke's Orb of Containment     Evoc                  GA
Part Water                       Alt                   PHB
Permanent Illusion               Ill/Phant             PHB
Power Word: Silence              Alt                   FRA
Programmed Illusion              Ill/Phant             PHB
Project Image                    Alt, Ill/Phant        PHB
Raise Water                      Alt                   PHB
Rary's Urgent Utterance          Alt                   GA
Rary's Protection from Scrying   Abj, Div              GA
Reconstruction                   Alt                   FRA
Reincarnation                    Necro                 PHB
Repulsion                        Abj                   PHB
Shades                           Ill/Phant             PHB
Stone to Flesh                   Alt                   PHB
Teleport Dead                    Alt, Necro            FRA
Tenser's Fortunes of War         Abj                   GA
Tenser's Transformation          Alt, Evoc             PHB
Tentacles                        Conj, Alt             CWH
Transmute Water to Dust (R)      Alt                   PHB
True Seeing                      Div                   PHB
Turnshadow                       Abj                   FRA
Veil                             Ill/Phant             PHB
Wildshield*                      Alt                   ToM
Wildstrike*                      Conj/Summ             ToM

7th Level Spells
Acid Storm                       Evoc                  ToM
Amorphous Blob                   Alt, Necro            Dr162
Banishment                       Abj                   PHB
Bigby's Grasping Hand            Evoc                  PHB
Bloodstone's Frightful Joining   Necro                 ToM
Bone Javelin                     Alt, Evoc             Dr164
Charm Plants                     Ench/Charm            PHB
Control Undead                   Necro                 PHB
Delayed Blast Fireball           Evoc                  PHB
Drawmij's Instant Summons        Conj/Summ             PHB
Duo-Dimension                    Alt                   PHB
Finger of Death                  Necro                 PHB
Fistandantilus Frightful Joining Necro                 ToM
Flame Chase                      Evoc                  Dr187
Forcecage                        Evoc                  PHB
Gemjump                          Alt                   FRA
Hatch the Stone from the Egg     Alt, Ench, Evoc       ToM
Hornung's Surge Selector*        Alt                   ToM
Intensify Summoning              Conj/Summ, Necro      ToM
Khelben's Warding Whip           Abj                   FRA
Limited Wish                     Conj/Summ, Invoc/Evoc PHB
Malec-Keth's Flame Fist          Evoc                  ToM
Malraz's Dramatic Death          Ill/Phant             RPGnet
Manor's Mind Vision              Alt/Div               Dr166
Mass Invisibility                Ill/Phant             PHB
Monster Summoning V              Conj/Summ             PHB
Morden.'s Magnificent Manshion   Alt, Conj             PHB
Mord.'s Penultimate Cogitation   Alt                   GA
Mordenkainen's Sword             Evoc                  PHB
Negative Plane Protection        Abj, Necro            Dr164
Otiluke's Death Screen           Evoc, Alt             GA
Otiluke's Fire and Ice           Evoc                  GA
Otiluke's Siege Sphere           Evoc                  GA
Phase Door                       Alt                   PHB
Power Word: Stun                 Conj/Summ             PHB
Prismatic Spray                  Conj/Summ             PHB
Rary's Plane Truth               Div                   GA
Rebinding                        Ench, Alt, Invoc/Evoc Dr163
Repel Undead                     Abj, Necro            Dr164
Reverse Gravity                  Alt                   PHB
Ruby Ray of Reversal             Alt                   FRA
Sequester                        Ill/Phant, Abj        PHB
Shadowcat                        Ill                   ToM
Shadow Walk                      Ill, Ench             PHB
Simulacrum                       Ill/Phant             PHB
Spectral Guard                   Evoc                  FRA
Spell Shape*                     Alt                   ToM
Spell Turning                    Abj                   PHB
Spelltrap                        Alt, Abj              FRA
Statue                           Alt                   PHB
Steal Enchantment                Ench                  ToM
Suffocate                        Alt, Necro            ToM
Teleport Without Error           Alt                   PHB
The Simbul's Synostodweomer      Alt, Necro            FRA
Transmute Bone to Steel (R)      Necro, Alt            Dr167
Vanish                           Alt                   PHB
Vision                           Div                   PHB
Wings                            Alt                   Dr187
Zombie Double                    Necro                 CWH

8th Level Spells
Abi-Dalzim's Horrid Wilting      Alt, Necro            ToM
Airball                          Evoc                  Dr187
Airboat                          Alt, Ench             ToM
Antipathy-Sympathy               Ench/Charm            PHB
Binding                          Ench, Evoc            PHB
Bigby's Clenched Fist            Evoc                  PHB
Bigby's Most Excellent F. S.     Evoc                  GA
Bone Blade                       Alt, Evoc, Necro      Dr164
Clone                            Necro                 PHB
Death Link                       Necro                 FRA
Deep Delve                       Alt                   Dr187
Defoliate                        Necro                 CWH
Demand                           Evoc, Ench/Charm      PHB
Fear Ward                        Abj                   CWH
Gateway                          Alt                   FRA
Glassteel                        Alt                   PHB
Great Shout                      Evoc                  FRA
Gunther's Kaleidoscopic Strike   Invoc/Evoc            ToM
Homunculus Shield                Evoc, Necro           ToM
Hornung's Random Dispatcher*     Abj                   ToM
Incendiary Cloud                 Alt, Evoc             PHB
Mass Charm                       Ench/Charm            PHB
Maze                             Conj/Summ             PHB
Mind Blank                       Abj                   PHB
Monster Summoning VI             Conj/Summ             PHB
Otiluke's Telekinetic Sphere     Evoc, Alt             PHB
Otiluke's Irresistible Dance     Ench/Charm            PHB
Permanency                       Alt                   PHB
Polymorph Any Object             Alt                   PHB
Power Word: Blind                Conj/Summ             PHB
Prismatic Wall                   Conj/Summ             PHB
Screen                           Div/Ill               PHB
Serten's Spell Immunity          Abj                   PHB
Shadow Form                      Necro                 CWH
Sink                             Ench, Alt             PHB
Spell Engine                     Abj, Alt              FRA
Sunburst                         Evoc                  FRA
Symbol                           Conj/Summ             PHB
Trap the Soul                    Conj/Summ             PHB
Undead Servants                  Necro, Alt            Dr167
Wildzone*                        Conj/Summ             ToM

9th Level Spells
Astral Spell                     Evoc                  PHB
Bigby's Crushing Hand            Evoc                  PHB
Call                             Alt, Ench             PHB
Chain Contingency                Evoc                  ToM
Crystalbrittle                   Alt                   PHB
Dismind (R)                      Ench/Charm            FRA
