
                                  144BBS.TXT
            US BBS's Supporting v.32bis, v.fc & v.34 CONNECTs

                         Compiled and Distributed by:
                      The DownTown BBS - Los Angeles, CA
                                (213) 484-0260
                  [3/12/24/96/14.4k v.32bis - Public Access]
                  Telnet://dwntwn.com (IP: 205.148.204.2:23)

             See 144MDM.LST for Modem abbreviations used below.

  AC/Phone        BBS Name                        City       State  Modem
213-725-3047  KBBS                        Montebello         CA     V34
213-756-4167  Exodus Crossroads           Los Angeles        CA     V32B
213-758-3879  Mark'System BBS             Los Angeles        CA     V32B
213-851-2127  The Tool Shop               West Hollywood     CA     V32B
213-957-2562  Summa Nulla BBS             Los Angeles        CA     V32B
213-962-2902  The BCS BBS                 Hollywood          CA     V32B
213-962-8191  Southland BBS               Los Angeles        CA     V32B
214-373-1978  HP/UP Happenings            Dallas             TX     V34E
214-907-2992  MetroLines BBS              Dallas             TX     V32B
215-883-1900  ONIX BBS                    Philadelphia       PA     V34
216-237-8379  Lomcevak                    North Royalton     OH     V34+
216-337-0758  K's Korner BBS              Salem              OH     V32B
216-562-4006  Homes OnLine, Inc.          Cleveland          OH     V32B
217-224-3203  ProfitMaker BBS             Quincy             IL     V32B
219-324-4713  Rob's BBS Arcade            La Porte           IN     V32B
219-325-3655  Rob's BBS Arcade            La Porte           IN     VFC
219-493-2193  New Files Express BBS       Fort Wayne         IN     V32B
219-722-3611  Loganlink                   Logansport         IN     V34+
219-873-1949  Mike's Host Mode BBS        Michigan City      IN     V32B
301-493-4757  The Round Table             Bethesda           MD     V34E
301-552-4414  GlobeNet BBS                Beltsville         MD     V32B
301-805-8921  The Last DX Connection      Bowie              MD     V34+
301-946-6056  The_Digital_Link            Silver Spring      MD     V32B
301-994-9460  Hafa Adai Exchange          Great Mills        MD     V34
301-994-9462  Hafa Adai Exchange          Great Mills        MD     V34
305-360-2991  The House of ICHTHYS        Deerfield Beach    FL     V32B
305-583-7808  Galacticomm Demo System     Fort Lauderdale    FL     V34
305-726-3849  Logic Circuit - Logicom     Tamarac            FL     V32B
307-234-5580  PhonePole                   Casper             WY     V32B
307-472-4656  Sirius Software Support     Casper             WY     V32B
310-204-6158  Camelot Files/Message BBS   Culver City        CA     V34E
310-274-7289  Virtual Spectrum BBS        West Los Angeles   CA     V32B
310-306-5134  Skeleton Crew               Venice             CA     V32B
310-306-9775  Skeleton Crew               Venice             CA     V32B
310-320-5000  The Coffee Break BBS        Torrance           CA     V32B
310-371-3737  The Source BBS              Lawndale           CA     V34E
310-378-3081  The Bad Boy BBS!            Torrance           CA     V34F
310-395-0872  Santa Monica High School B  Santa Monica       CA     V32B
310-398-9382  Federation HeadQuarters BB  West Los Angeles   CA     V32B
310-402-5213  Far East Asian Connection   Cerritos           CA     V34
310-407-1300  Hotel California            Santa Fe Springs   CA     V32B
310-421-6766  One Stop Tech Shop          Long Beach         CA     V34E
310-425-5710  The Coffee Break BBS        Lakewood           CA     V32B
310-436-1311  Why Not BBS                 Long Beach         CA     V32B
310-459-1264  The LINK BBS                Pacific Palisades  CA     VFC
310-494-0909  The Jungle                  Long Beach         CA     V32B
310-496-4154  Circuit Breaker BBS         Long Beach         CA     V32B
310-532-1700  KBBS                        Compton            CA     V34
310-539-6330  Illusions BBS               Harbor City        CA     V32B
310-553-6117  Athlete's Bench             Glendale           CA     V34E
310-558-0145  KBBS                        Culver City        CA     V34
310-559-5333  West Los Angeles BBS        West Los Angeles   CA     V32B
310-559-5334  West Los Angeles BBS        West Los Angeles   CA     V34
310-634-0146  New Joy Christian BBS       Bellflower         CA     V32B
310-645-0038  Total System Control        Los Angeles        CA     V34
310-676-3534  The Great Escape            Gardena            CA     V32B
310-677-7034  The BizOpps Connection      Inglewood          CA     V34E
310-696-5459  New Joy Christian BBS       Whittier           CA     V32B
310-815-0117  Miller's Party Board        Culver City        CA     V32B
310-823-4978  The Quantum Connection      Marina Del Rey     CA     V32B
310-827-2801  LACS BBS                    Los Angeles        CA     VFC
310-827-8171  LACS BBS                    Los Angeles        CA     V32B
310-838-6098  West Los Angeles BBS        West Los Angeles   CA     V34
310-838-9229  West Los Angeles BBS        West Los Angeles   CA     V34
310-863-9061  The Blue Lodge BBS          Norwalk            CA     V32B
310-915-5862  The Bad Boy BBS!            Torrance           CA     V34F
312-767-5787  PUB Desktop Publishing      Chicago            IL     V32B
312-767-6964  PUB Desktop Publishing      Chicago            IL     VFC
313-291-5571  Gateway Online              Detroit            MI     V32B
314-367-1903  SLACC STACK                 St. Louis          MO     V32B
314-845-7937  Party Line BBS              St. Louis          MO     V32B
317-662-8122  The Hoosier BBS             Marion             IN     V32B
334-347-3001  Up All Night BBS            Enterprise         AL     V34E
334-409-0956  HomeOwners Haven Bbs        Montgomery         AL     V32B
3O5-792-9622  Information Interchange BB  Fort Lauderdale    FL     VFC
402-597-2666  HawgWild! BBS               Omaha              NE     V34E
404-426-8368  The MetroDooM BBS           Atlanta            GA     V34
404-435-9822  Independence BBS!           Atlanta            GA     V32B
404-590-9375  The MetroDooM BBS           Atlanta            GA     V34
405-478-8250  MEDICUS BBS                 Edmond             OK     V34E
405-491-0751  Huggy Bears BBS II          Oklahoma City      OK     V32B
405-949-2090  Huggy Bears BBS I           Oklahoma City      OK     V32
406-452-6552  Just For Fun BBS            Great Falls        MT     V32B
407-336-4419  Help-Online                 Port St. Lucie     FL     V32B
407-466-1661  The Higher Power BBS        Fort Pierce        FL     V32B
407-691-9125  The Satellite BBS           Palm Beach Garden  FL     VFC
408-366-1804  The Holodeck BBS            San Jose           CA     V32B
408-973-1118  Charisma II BBS             San Jose           CA     V34E
409-842-3044  Triple Threat EIS           Beaumont           TX     V34
409-943-5044  The Riser                   Texas City         TX     V32B
410-239-7473  ShareWare Paradise          Westminster        MD     V34E
410-837-1420  The Barter Board            Baltimore          MD     V32B
410-882-4481  The Wright Place            Baltimore          MD     V32B
414-242-5070  The Birch Bark BBS          Germantown         WI     V32B
414-253-7609  Over The Edge               Milwaukee          WI     V32B
414-384-9136  The Black Unicorn           Milwaukee          WI     VFC
415-323-4198  SPACE BBS                   Menlo Park         CA     V34E
415-383-2983  Love Bytes BBS              San Francisco      CA     V32B
415-574-3663  Toad Hall                   San Carlos         CA     V34F
415-595-2427  Toad Hall                   San Carlos         CA     V34F
415-992-4320  Dead Point                  Daly City          CA     V34
419-691-1125  Jet-Lag bbs                 Northwood          OH     VFC
419-697-9443  Jet-Lag bbs                 Northwood          OH     VFC
502-363-5001  The SandCastle              Louisville         KY     VFC
502-454-9931  On-Line Exchange            Louisville         KY     V34
503-232-9202  Banished CPU                Portland           OR     V34
503-695-3250  RAIN                        Corbett            OR     V32B
504-436-0640  High Blood Pressure!        New Orleans        LA     V34E
505-898-7120  Dead End bbs                Albuquerque        NM     V32B
508-688-1816  Tazman's BBS                Methuen            MA     V34E
510-777-1314  Community Access BBS        Antioch            CA     VFC
512-328-2885  The Shareware Connection    Austin             TX     V34+
513-752-1055  Cincinnati Computer(CCC)    Cincinnati         OH     V32B
513-753-0071  ziGGy's PARTyTIME BBS       Amelia             OH     V34+
516-377-0124  Intelec Online              Baldwin            NY     V34E
516-599-1209  Ace's Place BBS             East Rockaway      NY     V32B
516-868-0662  Intelec Online              Baldwin            NY     V34E
516-868-1741  Intelec Online              Baldwin            NY     V34E
517-892-1924  Fuzzy's Place BBs           Bay City           MI     V32B
518-785-1040  The ACCESS Network          Latham             NY     V32B
520-290-2807  Demodulator                 Tucson             AZ     V34E
602-246-0113  Fire! and ICE Hotel BBS     Phoenix            AZ     V32B
602-246-1031  Fire! and ICE Hotel BBS     Phoenix            AZ     V32B
602-246-1158  Fire! and ICE Hotel BBS     Phoenix            AZ     V32B
602-246-1314  Fire! and ICE Hotel BBS     Phoenix            AZ     V32B
602-246-1317  Fire! and ICE Hotel BBS     Phoenix            AZ     V32B
602-246-1645  Fire! and ICE Hotel BBS     Phoenix            AZ     V34
602-246-2669  Fire! and ICE Hotel BBS     Phoenix            AZ     V32B
602-246-7817  Fire! and ICE Hotel BBS     Phoenix            AZ     V32B
602-246-9132  Fire! and ICE Hotel BBS     Phoenix            AZ     V32B
602-482-9382  LearningNET                 Scottsdale         AZ     VFC
603-647-3068  Whiz Data Network           Manchester         NH     V32B
606-573-2054  The Hack Shack BBS          Smith              KY     V32B
609-392-5953  Polymath One EIS            Trenton            NJ     V34E
609-485-2380  The Casino                  Pomona             NJ     V34+
609-541-2417  TOP SECRET BBS              Camden             NJ     V34
609-987-9539  SSDecontrol                 Princeton          NJ     V34
610-670-7938  The Docksider BBS           Reinholds          PA     V32B
610-670-8725  The Mercury Project         Wyomissing         PA     V32B
610-678-0350  The Docksider BBS           Reinholds          PA     V34E
610-779-6207  The Mystical Force BBS      Reading            PA     V34+
612-522-0166  U.S. VETERANS BBS           Minneapolis        MN     V32B
612-522-2026  U.S. VETERANS BBS           Minneapolis        MN     V32B
612-522-8700  U.S. VETERANS BBS           Minneapolis        MN     V32B
612-588-7563  U.S. VETERANS BBS           Minneapolis        MN     V32B
612-890-4828  Galaxy SuperBoard           Minneapolis        MN     V34
614-855-8504  Ginger's Port Limited       Gahanna            OH     V34
614-855-8595  Ginger's Port Limited       Gahanna            OH     V32B
615-356-0453  3rd Sojourn                 Nashville          TN     VFC
615-641-2569  Isle Of Retreat BBS         Antioch            TN     V32B
615-691-1887  The POST BBS                Knoxville          TN     VFC
615-896-7949  The Vision BBS              Murfreesboro       TN     V34+
615-952-5638  Flying Saucers Archives     Kingston Springs   TN     V32B
616-275-7000  Alien's Spaceship           Traverse City      MI     V32B
617-846-7394  The IMPosium BBS            Boston             MA     V32B
617-965-7046  BCS Zitel UG BBS            Newton Centre      MA     V34E
618-345-3663  The Darkroom BBS            Collinsville       IL     V34+
619-233-4747  ANDROS Gay BBS              San Diego          CA     V32
619-435-0036  Daily Calendar BBS          Coronado           CA     V32B
619-486-0596  The Nexus Point             Poway              CA     V32B
619-747-4048  Dream Net BBS               Escondido          CA     V32B
702-242-1794  DPS                         Las Vegas          NV     V34
703-878-4931  GEEZERS BBS                 Woodbridge         VA     V34E
704-636-8109  The 'OLD 97' BBS            Spencer            NC     V34
704-664-6742  Game Room On The Lake       Mooresville        NC     VFC
706-733-1124  My Home BBS!                Augusta            GA     V34
708-428-6125  MPI Online Services         Chicago            IL     V32B
708-635-8050  The Daze Inn BBS            Des Plaines        IL     V34E
708-724-0975  So Thats Whatcha Call It!   Glenview           IL     V34E
708-795-1185  The Daze Inn BBS            Berwyn             IL     V32B
708-993-0461  The Wild Onion! BBS         Elmhurst           IL     V32B
713-933-3510  The Learning Curve BBS      Houston            TX     V34E
714-236-9491  Pleasure Island Chateau     Sunset Beach       CA     V34
714-262-1200  The Coffee Break BBS        Irvine             CA     V32B
714-457-8066  The Safety Net BBS          Mission Viejo      CA     V34
714-521-5440  The Battle Cry! BBS         Buena Park         CA     V32B
714-537-4300  The Coffee Break BBS        Garden Grove       CA     V32B
714-541-5442  Light Waves BBS             Santa Ana          CA     V34+
714-572-8800  The Coffee Break BBS        Placentia          CA     V32B
714-635-5058  The Rising Phoenix          Anaheim            CA     V32B
714-643-3066  Laguna Hills BBS            Laguna Hills       CA     V34E
714-670-6500  The Coffee Break BBS        Buena Park         CA     V32B
714-733-3521  POPIT                       Irvine             CA     V32B
715-345-1327  The Point BBS               Stevens Point      WI     VFC
715-843-7538  The Premiere BBS            Wausau             WI     V32B
716-224-8216  Crystal Palace              Rochester          NY     V32B
716-224-9709  Crystal Palace              Rochester          NY     VFC
717-325-9481  T&J Software BBS            Jim Thorpe         PA     V34
718-281-0645  Software Kitchen BBS        Bayside            NY     V34E
718-353-6994  The Gateway                 Flushing           NY     V34
718-375-5561  System X                    Brooklyn           NY     V34+
718-699-0056  The Greek Isles BBS         New York           NY     V34
718-699-0832  The Greek Isles BBS         New York           NY     V32B
718-786-5557  The Interzone BBS           Long Island City   NY     V34+
718-919-1991  Technician's Lounge         New York City      NY     V34E
718-951-0074  Mind Matters BBS            Brooklyn           NY     V32B
718-951-6652  Mind Matters BBS            Brooklyn           NY     V34
718-972-6099  Star-Link Network           Brooklyn           NY     V34F
800-881-7737  Ships Self Defense BBS      Louisville         KY     VFC
803-552-4389  The Earth Art BBS!          North Charleston   SC     V34E
803-871-8761  Carolina Chat               Ladson             SC     V32B
803-873-5797  Dazed & Confused BBS        Ladson             SC     V32B
804-768-8621  Metro Connection            Richmond           VA     V34
804-978-7182  The V.I.N.E. System         Charlottesville    VA     V32B
805-255-5006  KBBS                        Newhall-SCV        CA     V34
805-392-0898  The BBS BLISS!              Bakersfield        CA     V32B
805-498-1374  Thousand Oaks PC Club       Newbury Park       CA     V34
805-520-7323  KBBS                        Simi-Moorpark      CA     V34
805-722-5758  Hi-Desert Hangout           Lancaster          CA     V34
808-621-8845  The Aloha Network           Oahu               HI     V32B
810-680-8861  Electronic Lucidity         Troy               MI     V32B
810-751-6704  Short Circuit BBS           Warren             MI     V34E
812-254-9601  Junk Yard BBS               Washington         IN     V32B
813-277-0906  *ASTRO* BBS                 Ft. Myers          FL     VFC
813-621-2115  My BBS                      Tampa              FL     V32B
813-726-7724  Gabriel's Net               Safety Harbor      FL     VFC
813-949-4993  PC-Help! BBS                Lutz               FL     V34E
813-949-6588  PC-Help! BBS                Lutz               FL     V34E
814-886-2563  The Summit SearchLight      Cresson            PA     V34E
815-223-6413  The Shell                   La Salle           IL     V32B
816-331-5868  Howard's Notebook           Belton             MO     V34
816-452-3219  NCahoots! BBS               Kansas City        MO     V32B
816-524-0852  Barter Town                 Lee's Summit       MO     V34+
816-796-7078  Cypress Corners BBS         Independence       MO     V32B
817-473-2089  We Do Windows               Mansfield          TX     VFC
818-247-2282  Athlete's Bench             Glendale           CA     V34E
818-248-3088  Hottips BBS                 Glendale           CA     V34E
818-248-8974  Hottips BBS                 Glendale           CA     V34E
818-249-5647  The Online Writer           La Crescenta       CA     V32B
818-285-8684  SouthWest BBS               Pasadena           CA     V34+
818-288-0573  Eclair BBS                  Monterey Park      CA     VFC
818-330-1739  Medi-Call BBS               La Puente          CA     V32B
818-353-5873  The AirConditioned Nightma  Tujunga            CA     VFC
818-353-8891  Mysteria                    Tujunga            CA     V34+
818-357-5005  The Coffee Break BBS        Monrovia           CA     V32B
818-358-3811  A Community BBS             Monrovia           CA     V32B
818-366-1238  The MOG-UR'S EMS            Granada Hills      CA     V32B
818-366-8929  The MOG-UR'S EMS            Granada Hills      CA     V32B
818-368-3337  Earthquake City BBS         Granada Hills      CA     V32B
818-441-3867  The Continuum               South Pasadena     CA     V32B
818-445-5051  KBBS                        Arcadia            CA     V34
818-447-6100  The Coffee Break BBS        Arcadia            CA     V32B
818-505-9848  KBBS                        N. Hollywood       CA     V34
818-507-1365  KBBS                        Glendale           CA     V34
818-558-7963  SkyNet BBS                  Burbank            CA     V32B
818-564-8548  The Water Fountain          Pasadena           CA     V32B
818-566-7912  Rambo-Scan BBS              Burbank            CA     V32B
818-609-9276  Solaris                     Reseda             CA     V34+
818-718-1600  The Info-Tainment BBS       Winnetka           CA     V32B
818-727-7639  Sleuth BBS                  Chatsworth         CA     V32B
818-757-3532  Virtual Spectrum BBS        Encino             CA     V32B
818-762-1288  The Sovereignty Workshop    Toluca Lake        CA     VFC
818-763-0678  Computer One                North Hollywood    CA     V32B
818-763-1158  Panasia BBS                 North Hollywood    CA     V34E
818-763-9006  Computer One                North Hollywood    CA     V32B
818-779-5600  The Annex! BBS              Van Nuys           CA     V32B
818-791-2252  New Image BBS!              Pasadena           CA     V32B
818-793-9108  Southland BBS               Pasadena           CA     V32B
818-794-0490  The Labyrinth               Altadena           CA     V32B
818-797-6400  The Coffee Break BBS        Pasadena           CA     V32B
818-846-9304  Bad-Boy's BBS               Burbank            CA     V32B
818-848-4101  Blue Thunder BBS            Burbank            CA     V34E
818-881-9483  Solaris                     Reseda             CA     V32B
818-883-5065  The Singles Network         Woodland Hills     CA     V32B
818-886-0872  KBBS                        Northridge         CA     V34
818-889-2546  KBBS                        Agoura             CA     V34
818-896-2007  The Ledge                   Lake View Terrace  CA     V34E
818-918-5757  The Better Half             West Covina        CA     V34F
818-919-0777  The Nocturnal Sanctuary     La Puente          CA     V32B
818-961-1700  The Coffee Break BBS        La Puente          CA     V32B
818-980-2224  InfoRec BBS                 North Hollywood    CA     V32B
818-985-7848  Cafe Nebula                 North Hollywood    CA     V32B
818-994-0442  KBBS                        Van Nuys           CA     V34
818-995-6959  L.A. Info-Tainment Multipl  Winnetka           CA     V32B
847-872-4096  The Sojourner BBS           Zion               IL     V34
860-673-6247  Phone Henge BBS             Unionville         CT     V34E
860-886-1441  Sea of Noise                Norwich            CT     V34E
901-925-2503  Blackbeard's BBS            Savannah           TN     V32B
904-432-4906  The Land Of Imagination     Pensacola          FL     V32B
904-432-5482  The Land Of Imagination     Pensacola          FL     V32B
904-432-5655  The Land Of Imagination     Pensacola          FL     V32B
904-432-5933  The Land Of Imagination     Pensacola          FL     V32B
904-432-6230  The Land Of Imagination     Pensacola          FL     V32B
904-438-2648  The Land Of Imagination     Pensacola          FL     V32B
904-939-0861  Wrinkles & Feathers BBS 2   Navarre            FL     V34
904-939-8404  Wrinkles & Feathers BBS 1   Navarre            FL     V34
904-939-8564  Wrinkles & Feathers BBS 3   Navarre            FL     V34
907-522-2900  Softworks BBS               Anchorage          AK     V32B
908-249-7139  Renasci BBS                 Highland Park      NJ     V32B
908-363-2760  ByteWise(tm)                Lakewood           NJ     V34+
908-506-7637  CyberComm Online Services   Toms River         NJ     V32B
908-571-4666  The Hot Spot BBS            Long Branch        NJ     V32B
908-905-3029  File Exchange BBS           Howell             NJ     V32B
909-681-6221  ATTENTION to Details BBS    Mira Loma          CA     V32B
909-687-0617  The Mouse Works! BBS        Riverside          CA     VFC
909-880-1014  Sound Wave Fantasy's BBS    San Bernardino     CA     VFC
909-887-0044  Sound Wave Fantasy's BBS    San Bernardino     CA     V32B
909-887-9464  Sound Wave Fantasy's BBS    San Bernardino     CA     V32B
909-902-0947  The Abyss BBS               Chino Hills        CA     V34+
910-621-9019  The Funny Farm [East]       Greensboro         NC     V34E
913-764-6080  Fantasma                    Olathe             KS     V34+
913-832-0041  Metropolis                  Lawrence           KS     V32B
913-887-6699  Great America               Lecompton          KS     V32B
914-234-6340  Sportster BBS               Bedford            NY     V34
914-242-8227  New York MetroChat          Mt. Kisco          NY     V32B
914-736-1253  Dark Side of the Moon       Crompond           NY     V32B
914-736-2235  Dark Side of the Moon       Crompond           NY     V34F
914-736-3186  Dark Side of the Moon       Crompond           NY     V34E
914-736-3714  Dark Side of the Moon       Crompond           NY     V34E
916-366-3216  Coconut Telegraph           Sacramento         CA     V34
916-929-7511  BOBsBBS                     Sacramento         CA     V34E
916-962-3973  For Adults Only BBS         Sacramento         CA     V32B
916-991-9678  Bowlers BBS                 Rio Linda          CA     VFC
918-358-5244  Access Denied BBS!!         Cleveland          OK     V32B
919-286-4542  Psychotronic BBS            Durham             NC     V32B
919-286-7738  Psychotronic BBS            Durham             NC     V34E
919-776-2368  Late-Nite BBS               Sanford            NC     V34F
919-859-5826  The Parallel Universe       Raleigh            NC     V34F
941-635-7213  The Blue Grotto BBS         Frostproof         FL     V34+
941-648-5220  Action-Link Systems2        Lakeland           FL     V32B
941-648-5393  Action-Link Systems2        Lakeland           FL     V34
954-438-8999  Fantastic Planet BBS        Hollywood          FL     V34
------------||--------------------------||-----------------||-----||-----|

                              365 Entries in 144BBS
                                  End of File
                            Thanks for using 144BBS!

